tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33748,1000000000000,1000000000000,False
1000000000000,35905,1000000000000,1000000000000,False
1000000000000,40396,1000000000000,1000000000000,False
1000000000000,35373,1000000000000,1000000000000,False
33365,1000000000000,1000000000000,1000000000000,True
1000000000000,40722,1000000000000,1000000000000,False
1000000000000,37102,1000000000000,1000000000000,False
1000000000000,39939,1000000000000,1000000000000,False
1000000000000,38181,1000000000000,1000000000000,False
41594,1000000000000,1000000000000,1000000000000,True
1000000000000,42035,1000000000000,1000000000000,False
1000000000000,41712,1000000000000,1000000000000,False
34834,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36026,1000000000000,False
1000000000000,1000000000000,38428,1000000000000,False
1000000000000,44153,1000000000000,1000000000000,False
1000000000000,1000000000000,37707,1000000000000,False
1000000000000,1000000000000,39967,1000000000000,False
35849,1000000000000,1000000000000,1000000000000,True
41994,1000000000000,1000000000000,1000000000000,True
1000000000000,45790,1000000000000,1000000000000,False
1000000000000,1000000000000,42585,1000000000000,False
53061,1000000000000,1000000000000,1000000000000,True
36918,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45941,1000000000000,False
1000000000000,44656,1000000000000,1000000000000,False
1000000000000,1000000000000,43676,1000000000000,False
43773,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47491,False
1000000000000,1000000000000,44265,1000000000000,False
37738,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41469,1000000000000,False
52733,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47391,False
38845,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42251,1000000000000,False
1000000000000,1000000000000,44718,1000000000000,False
39408,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45015,1000000000000,False
1000000000000,45467,1000000000000,1000000000000,False
1000000000000,1000000000000,43360,1000000000000,False
1000000000000,1000000000000,1000000000000,49406,False
1000000000000,50462,1000000000000,1000000000000,False
1000000000000,1000000000000,41971,1000000000000,False
1000000000000,1000000000000,1000000000000,48885,False
1000000000000,46028,1000000000000,1000000000000,False
40194,1000000000000,1000000000000,1000000000000,True
43151,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49159,False
41182,1000000000000,1000000000000,1000000000000,True
1000000000000,47086,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49841,False
40644,1000000000000,1000000000000,1000000000000,True
1000000000000,51536,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49724,False
1000000000000,47462,1000000000000,1000000000000,False
1000000000000,1000000000000,49779,1000000000000,False
59106,1000000000000,1000000000000,1000000000000,True
1000000000000,43666,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58825,True
1000000000000,1000000000000,1000000000000,50957,False
1000000000000,1000000000000,47234,1000000000000,False
1000000000000,1000000000000,48829,1000000000000,False
1000000000000,1000000000000,1000000000000,50302,False
1000000000000,1000000000000,48623,1000000000000,False
51186,1000000000000,1000000000000,1000000000000,True
1000000000000,50091,1000000000000,1000000000000,False
51625,1000000000000,1000000000000,1000000000000,True
42356,1000000000000,1000000000000,1000000000000,True
56709,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50119,False
1000000000000,1000000000000,1000000000000,51662,False
1000000000000,1000000000000,49418,1000000000000,False
1000000000000,49808,1000000000000,1000000000000,False
42692,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50852,False
1000000000000,46609,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58734,True
44115,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51503,False
1000000000000,1000000000000,1000000000000,51945,False
1000000000000,1000000000000,47698,1000000000000,False
1000000000000,1000000000000,1000000000000,51428,False
1000000000000,1000000000000,1000000000000,52271,False
45538,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51732,False
1000000000000,45119,1000000000000,1000000000000,False
50691,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52159,False
1000000000000,1000000000000,1000000000000,51154,False
1000000000000,1000000000000,1000000000000,51939,False
1000000000000,1000000000000,50221,1000000000000,False
1000000000000,50842,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52930,False
1000000000000,1000000000000,51076,1000000000000,False
1000000000000,52371,1000000000000,1000000000000,False
44795,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53007,False
1000000000000,1000000000000,53174,1000000000000,False
1000000000000,1000000000000,1000000000000,59334,True
1000000000000,1000000000000,48041,1000000000000,False
1000000000000,51873,1000000000000,1000000000000,False
1000000000000,1000000000000,49050,1000000000000,False
56136,1000000000000,1000000000000,1000000000000,True
44444,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53451,False
1000000000000,1000000000000,1000000000000,52924,False
58535,1000000000000,1000000000000,1000000000000,True
1000000000000,54815,1000000000000,1000000000000,False
47304,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52937,False
1000000000000,55828,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59423,True
47727,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53982,1000000000000,False
1000000000000,54350,1000000000000,1000000000000,False
49496,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58898,True
1000000000000,1000000000000,52218,1000000000000,False
46585,1000000000000,1000000000000,1000000000000,True
1000000000000,55147,1000000000000,1000000000000,False
1000000000000,1000000000000,54908,1000000000000,False
1000000000000,1000000000000,1000000000000,54672,False
1000000000000,55548,1000000000000,1000000000000,False
1000000000000,56429,1000000000000,1000000000000,False
1000000000000,1000000000000,54595,1000000000000,False
48150,1000000000000,1000000000000,1000000000000,True
55736,1000000000000,1000000000000,1000000000000,True
46020,1000000000000,1000000000000,1000000000000,True
1000000000000,49126,1000000000000,1000000000000,False
1000000000000,56769,1000000000000,1000000000000,False
1000000000000,1000000000000,56127,1000000000000,False
1000000000000,49447,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,56168,False
1000000000000,51192,1000000000000,1000000000000,False
57649,1000000000000,1000000000000,1000000000000,True
1000000000000,56103,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59148,True
53726,1000000000000,1000000000000,1000000000000,True
49838,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56456,False
1000000000000,1000000000000,1000000000000,55384,False
1000000000000,57010,1000000000000,1000000000000,False
59440,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,57390,False
48877,1000000000000,1000000000000,1000000000000,True
50228,1000000000000,1000000000000,1000000000000,True
49190,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,57070,False
1000000000000,1000000000000,1000000000000,57640,False
56436,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53599,1000000000000,False
1000000000000,1000000000000,52878,1000000000000,False
1000000000000,1000000000000,1000000000000,57275,False
54640,1000000000000,1000000000000,1000000000000,True
1000000000000,59085,1000000000000,1000000000000,False
54273,1000000000000,1000000000000,1000000000000,True
1000000000000,58809,1000000000000,1000000000000,False
1000000000000,1000000000000,55526,1000000000000,False
1000000000000,1000000000000,1000000000000,59150,False
51928,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58977,False
1000000000000,1000000000000,1000000000000,59658,False
1000000000000,1000000000000,52563,1000000000000,False
1000000000000,1000000000000,1000000000000,59506,True
1000000000000,1000000000000,1000000000000,59092,False
1000000000000,1000000000000,1000000000000,60028,True
1000000000000,59806,1000000000000,1000000000000,False
52152,1000000000000,1000000000000,1000000000000,True
55420,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59494,True
1000000000000,1000000000000,1000000000000,58919,False
59749,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59939,False
1000000000000,1000000000000,1000000000000,60323,True
1000000000000,1000000000000,59965,1000000000000,False
57131,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59281,True
1000000000000,1000000000000,1000000000000,59481,False
55069,1000000000000,1000000000000,1000000000000,True
1000000000000,53989,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58582,True
1000000000000,1000000000000,1000000000000,59947,True
60209,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,58700,1000000000000,False
1000000000000,1000000000000,1000000000000,59773,True
1000000000000,1000000000000,59514,1000000000000,False
1000000000000,59391,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60283,False
1000000000000,1000000000000,1000000000000,59560,False
1000000000000,1000000000000,1000000000000,59793,False
1000000000000,1000000000000,1000000000000,59036,False
1000000000000,1000000000000,57712,1000000000000,False
58015,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59820,False
1000000000000,1000000000000,1000000000000,58906,False
1000000000000,1000000000000,1000000000000,59275,False
1000000000000,1000000000000,58975,1000000000000,False
1000000000000,1000000000000,1000000000000,59579,False
1000000000000,1000000000000,58207,1000000000000,False
1000000000000,58311,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60103,True
1000000000000,1000000000000,1000000000000,59778,True
1000000000000,1000000000000,1000000000000,59772,True
1000000000000,1000000000000,1000000000000,60435,True
