tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,35903,1000000000000,1000000000000,False
34915,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,35026,1000000000000,False
1000000000000,44027,1000000000000,1000000000000,False
1000000000000,39319,1000000000000,1000000000000,False
1000000000000,1000000000000,43590,1000000000000,False
1000000000000,42410,1000000000000,1000000000000,False
1000000000000,1000000000000,38727,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
37142,1000000000000,1000000000000,1000000000000,True
1000000000000,41334,1000000000000,1000000000000,False
1000000000000,1000000000000,39784,1000000000000,False
38051,1000000000000,1000000000000,1000000000000,True
39271,1000000000000,1000000000000,1000000000000,True
40343,1000000000000,1000000000000,1000000000000,True
1000000000000,41743,1000000000000,1000000000000,False
1000000000000,1000000000000,46813,1000000000000,False
1000000000000,43201,1000000000000,1000000000000,False
1000000000000,1000000000000,37453,1000000000000,False
1000000000000,40396,1000000000000,1000000000000,False
1000000000000,1000000000000,41218,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,38913,1000000000000,1000000000000,False
1000000000000,45696,1000000000000,1000000000000,False
41340,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,39992,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
41838,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
48592,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
42262,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
43246,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49459,1000000000000,1000000000000,False
1000000000000,1000000000000,50789,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49109,1000000000000,1000000000000,False
1000000000000,51697,1000000000000,1000000000000,False
1000000000000,1000000000000,49619,1000000000000,False
1000000000000,1000000000000,48703,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,49195,1000000000000,False
