tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
33742,1000000000000,1000000000000,1000000000000,True
41196,1000000000000,1000000000000,1000000000000,True
1000000000000,33862,1000000000000,1000000000000,False
33490,1000000000000,1000000000000,1000000000000,True
35548,1000000000000,1000000000000,1000000000000,True
1000000000000,36352,1000000000000,1000000000000,False
1000000000000,41624,1000000000000,1000000000000,False
1000000000000,36038,1000000000000,1000000000000,False
1000000000000,42693,1000000000000,1000000000000,False
1000000000000,44402,1000000000000,1000000000000,False
1000000000000,37545,1000000000000,1000000000000,False
1000000000000,35582,1000000000000,1000000000000,False
1000000000000,34989,1000000000000,1000000000000,False
1000000000000,38770,1000000000000,1000000000000,False
41848,1000000000000,1000000000000,1000000000000,True
40223,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36947,1000000000000,False
1000000000000,1000000000000,40441,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,41099,1000000000000,False
1000000000000,1000000000000,41695,1000000000000,False
1000000000000,1000000000000,43906,1000000000000,False
1000000000000,1000000000000,38973,1000000000000,False
1000000000000,1000000000000,39953,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,46940,1000000000000,False
1000000000000,1000000000000,43201,1000000000000,False
1000000000000,1000000000000,40161,1000000000000,False
1000000000000,1000000000000,46429,1000000000000,False
37375,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,39549,1000000000000,False
1000000000000,1000000000000,44420,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
38827,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
39291,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
40699,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
46651,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50186,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
43757,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,51228,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
49578,1000000000000,1000000000000,1000000000000,True
55177,1000000000000,1000000000000,1000000000000,True
1000000000000,46430,1000000000000,1000000000000,False
42266,1000000000000,1000000000000,1000000000000,True
1000000000000,46098,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49016,1000000000000,1000000000000,False
1000000000000,46983,1000000000000,1000000000000,False
