tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
33978,1000000000000,1000000000000,1000000000000,True
44906,1000000000000,1000000000000,1000000000000,True
1000000000000,33931,1000000000000,1000000000000,False
33599,1000000000000,1000000000000,1000000000000,True
35973,1000000000000,1000000000000,1000000000000,True
1000000000000,36799,1000000000000,1000000000000,False
1000000000000,42633,1000000000000,1000000000000,False
1000000000000,36468,1000000000000,1000000000000,False
1000000000000,41966,1000000000000,1000000000000,False
1000000000000,43440,1000000000000,1000000000000,False
1000000000000,38135,1000000000000,1000000000000,False
1000000000000,35912,1000000000000,1000000000000,False
1000000000000,35167,1000000000000,1000000000000,False
1000000000000,39331,1000000000000,1000000000000,False
45340,1000000000000,1000000000000,1000000000000,True
46290,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36751,1000000000000,False
1000000000000,1000000000000,44288,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,41321,1000000000000,False
1000000000000,45814,1000000000000,1000000000000,False
1000000000000,1000000000000,44636,1000000000000,False
1000000000000,1000000000000,42873,1000000000000,False
1000000000000,1000000000000,38865,1000000000000,False
1000000000000,1000000000000,41022,1000000000000,False
1000000000000,1000000000000,44966,1000000000000,False
1000000000000,1000000000000,42049,1000000000000,False
37857,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,40675,1000000000000,False
1000000000000,1000000000000,39499,1000000000000,False
1000000000000,48158,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,46969,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48706,1000000000000,False
39297,1000000000000,1000000000000,1000000000000,True
41606,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
43313,1000000000000,1000000000000,1000000000000,True
1000000000000,47453,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47266,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,47918,1000000000000,1000000000000,False
1000000000000,48607,1000000000000,1000000000000,False
40325,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,49030,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
