tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33238,1000000000000,1000000000000,False
1000000000000,38589,1000000000000,1000000000000,False
1000000000000,36876,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59707,True
1000000000000,1000000000000,34402,1000000000000,False
1000000000000,37579,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42829,False
1000000000000,1000000000000,1000000000000,41837,False
50659,1000000000000,1000000000000,1000000000000,True
33657,1000000000000,1000000000000,1000000000000,True
1000000000000,42222,1000000000000,1000000000000,False
33017,1000000000000,1000000000000,1000000000000,True
1000000000000,41366,1000000000000,1000000000000,False
1000000000000,39744,1000000000000,1000000000000,False
1000000000000,38237,1000000000000,1000000000000,False
1000000000000,35417,1000000000000,1000000000000,False
1000000000000,40540,1000000000000,1000000000000,False
45501,1000000000000,1000000000000,1000000000000,True
1000000000000,36158,1000000000000,1000000000000,False
35471,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42978,False
1000000000000,1000000000000,1000000000000,43117,False
1000000000000,1000000000000,1000000000000,59692,True
34505,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43653,False
1000000000000,1000000000000,37670,1000000000000,False
1000000000000,1000000000000,39512,1000000000000,False
1000000000000,1000000000000,44093,1000000000000,False
1000000000000,1000000000000,38362,1000000000000,False
1000000000000,1000000000000,43398,1000000000000,False
1000000000000,1000000000000,1000000000000,58925,True
1000000000000,45154,1000000000000,1000000000000,False
1000000000000,1000000000000,41500,1000000000000,False
1000000000000,1000000000000,46631,1000000000000,False
1000000000000,1000000000000,1000000000000,58896,True
45765,1000000000000,1000000000000,1000000000000,True
36666,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45629,False
1000000000000,1000000000000,45132,1000000000000,False
41539,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40708,1000000000000,False
1000000000000,1000000000000,1000000000000,58848,True
1000000000000,1000000000000,1000000000000,46914,False
1000000000000,1000000000000,1000000000000,46601,False
38116,1000000000000,1000000000000,1000000000000,True
1000000000000,47433,1000000000000,1000000000000,False
37407,1000000000000,1000000000000,1000000000000,True
