tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
33742,1000000000000,1000000000000,1000000000000,True
41196,1000000000000,1000000000000,1000000000000,True
1000000000000,33862,1000000000000,1000000000000,False
33490,1000000000000,1000000000000,1000000000000,True
35548,1000000000000,1000000000000,1000000000000,True
1000000000000,37247,1000000000000,1000000000000,False
1000000000000,43369,1000000000000,1000000000000,False
1000000000000,36933,1000000000000,1000000000000,False
1000000000000,42300,1000000000000,1000000000000,False
1000000000000,44715,1000000000000,1000000000000,False
1000000000000,40435,1000000000000,1000000000000,False
1000000000000,36477,1000000000000,1000000000000,False
1000000000000,35884,1000000000000,1000000000000,False
1000000000000,39210,1000000000000,1000000000000,False
41848,1000000000000,1000000000000,1000000000000,True
40223,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36947,1000000000000,False
1000000000000,37838,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44218,False
1000000000000,1000000000000,42002,1000000000000,False
1000000000000,1000000000000,42598,1000000000000,False
1000000000000,1000000000000,1000000000000,45564,False
1000000000000,1000000000000,39868,1000000000000,False
1000000000000,1000000000000,41310,1000000000000,False
1000000000000,1000000000000,1000000000000,45850,False
1000000000000,1000000000000,1000000000000,46176,False
1000000000000,1000000000000,44104,1000000000000,False
1000000000000,1000000000000,41102,1000000000000,False
1000000000000,1000000000000,1000000000000,46606,False
37375,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46218,False
1000000000000,1000000000000,1000000000000,47081,False
1000000000000,1000000000000,1000000000000,46886,False
1000000000000,1000000000000,40444,1000000000000,False
1000000000000,1000000000000,1000000000000,47858,False
1000000000000,1000000000000,1000000000000,47932,False
1000000000000,1000000000000,40765,1000000000000,False
38827,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48703,False
1000000000000,1000000000000,1000000000000,60212,True
39291,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48213,False
1000000000000,1000000000000,45250,1000000000000,False
1000000000000,1000000000000,44597,1000000000000,False
40699,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49616,False
1000000000000,1000000000000,1000000000000,49321,False
46651,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49599,False
1000000000000,1000000000000,48836,1000000000000,False
1000000000000,1000000000000,1000000000000,50161,False
1000000000000,1000000000000,1000000000000,50322,False
1000000000000,1000000000000,1000000000000,60361,True
1000000000000,1000000000000,1000000000000,50305,False
1000000000000,1000000000000,1000000000000,50001,False
43757,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49956,False
1000000000000,1000000000000,1000000000000,50415,False
1000000000000,1000000000000,1000000000000,49516,False
49578,1000000000000,1000000000000,1000000000000,True
55177,1000000000000,1000000000000,1000000000000,True
1000000000000,47923,1000000000000,1000000000000,False
42266,1000000000000,1000000000000,1000000000000,True
1000000000000,47306,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51131,False
1000000000000,1000000000000,50397,1000000000000,False
1000000000000,48672,1000000000000,1000000000000,False
57095,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50993,False
1000000000000,1000000000000,1000000000000,51319,False
1000000000000,1000000000000,48453,1000000000000,False
1000000000000,1000000000000,1000000000000,50739,False
1000000000000,1000000000000,1000000000000,60603,True
50217,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59757,True
1000000000000,1000000000000,1000000000000,59642,True
47273,1000000000000,1000000000000,1000000000000,True
44650,1000000000000,1000000000000,1000000000000,True
59094,1000000000000,1000000000000,1000000000000,True
1000000000000,53111,1000000000000,1000000000000,False
1000000000000,1000000000000,52678,1000000000000,False
43054,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52483,False
1000000000000,1000000000000,1000000000000,51702,False
56313,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51693,False
1000000000000,1000000000000,1000000000000,51959,False
1000000000000,1000000000000,1000000000000,52680,False
1000000000000,1000000000000,1000000000000,60102,True
1000000000000,49261,1000000000000,1000000000000,False
1000000000000,1000000000000,49440,1000000000000,False
1000000000000,49892,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51841,False
1000000000000,1000000000000,53024,1000000000000,False
1000000000000,1000000000000,1000000000000,51990,False
45534,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,60251,True
1000000000000,1000000000000,1000000000000,52440,False
1000000000000,1000000000000,1000000000000,52864,False
1000000000000,1000000000000,1000000000000,59396,True
57440,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52924,False
1000000000000,1000000000000,1000000000000,53474,False
1000000000000,1000000000000,52351,1000000000000,False
55946,1000000000000,1000000000000,1000000000000,True
47749,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52900,False
54795,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59835,True
1000000000000,1000000000000,1000000000000,52801,False
1000000000000,49551,1000000000000,1000000000000,False
59498,1000000000000,1000000000000,1000000000000,True
49301,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,54068,False
58180,1000000000000,1000000000000,1000000000000,True
1000000000000,49020,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54203,False
1000000000000,1000000000000,1000000000000,54251,False
1000000000000,50156,1000000000000,1000000000000,False
45028,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,55220,False
1000000000000,1000000000000,1000000000000,60314,True
1000000000000,1000000000000,1000000000000,54408,False
1000000000000,1000000000000,53372,1000000000000,False
1000000000000,1000000000000,1000000000000,55733,False
1000000000000,1000000000000,51255,1000000000000,False
1000000000000,48435,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55116,False
1000000000000,1000000000000,1000000000000,55437,False
46241,1000000000000,1000000000000,1000000000000,True
57800,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59909,True
1000000000000,1000000000000,1000000000000,60215,True
1000000000000,1000000000000,1000000000000,55729,False
1000000000000,1000000000000,1000000000000,55933,False
1000000000000,1000000000000,1000000000000,60694,True
58670,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51915,1000000000000,False
1000000000000,1000000000000,1000000000000,55680,False
1000000000000,1000000000000,1000000000000,58933,True
1000000000000,1000000000000,1000000000000,59604,True
1000000000000,1000000000000,57003,1000000000000,False
1000000000000,47623,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60132,True
1000000000000,1000000000000,1000000000000,57096,False
1000000000000,1000000000000,1000000000000,60507,True
48817,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56518,False
1000000000000,1000000000000,1000000000000,56480,False
1000000000000,1000000000000,1000000000000,59533,True
1000000000000,1000000000000,1000000000000,56569,False
58890,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,58163,1000000000000,False
1000000000000,1000000000000,1000000000000,60714,True
1000000000000,1000000000000,1000000000000,57633,False
1000000000000,1000000000000,1000000000000,57332,False
49945,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,57359,False
1000000000000,1000000000000,1000000000000,57655,False
1000000000000,1000000000000,57853,1000000000000,False
1000000000000,1000000000000,1000000000000,58184,False
1000000000000,1000000000000,55805,1000000000000,False
1000000000000,55481,1000000000000,1000000000000,False
55617,1000000000000,1000000000000,1000000000000,True
1000000000000,52491,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59178,False
1000000000000,58633,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58942,False
1000000000000,1000000000000,59052,1000000000000,False
1000000000000,1000000000000,1000000000000,59394,False
54333,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59169,True
50737,1000000000000,1000000000000,1000000000000,True
52310,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,60751,True
1000000000000,1000000000000,1000000000000,60431,True
1000000000000,1000000000000,1000000000000,59532,False
1000000000000,1000000000000,56140,1000000000000,False
56722,1000000000000,1000000000000,1000000000000,True
51548,1000000000000,1000000000000,1000000000000,True
1000000000000,54937,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60270,False
1000000000000,54258,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59120,False
1000000000000,55755,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59989,False
53675,1000000000000,1000000000000,1000000000000,True
1000000000000,53594,1000000000000,1000000000000,False
1000000000000,56766,1000000000000,1000000000000,False
1000000000000,58011,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59848,False
1000000000000,1000000000000,1000000000000,58818,True
1000000000000,1000000000000,59400,1000000000000,False
1000000000000,1000000000000,1000000000000,60064,True
1000000000000,1000000000000,1000000000000,59646,True
1000000000000,1000000000000,1000000000000,59191,False
