Instancia,replica,U_relativa,D_camiones
0,0,0.6721311475409836,586781.4
0,1,0.7086092715231788,600254.5
0,2,0.6147308781869688,585316.9
0,3,0.5877192982456141,584066.06
0,4,0.6122448979591837,594993.9
0,5,0.6634304207119741,590556.1
0,6,0.6837944664031621,617967.4
0,7,0.5864022662889519,580853.56
0,8,0.7525773195876289,558734.5
0,9,0.6708860759493671,600720.0
1,0,0.6285714285714286,605741.56
1,1,0.6198083067092651,564691.3
1,2,0.5730027548209367,616200.9
1,3,0.5316091954022989,602525.1
1,4,0.5857988165680473,589544.8
1,5,0.5636363636363636,607813.5
1,6,0.6083086053412463,574052.25
1,7,0.5657142857142857,587704.25
1,8,0.5489130434782609,618914.6
1,9,0.6464968152866242,555437.75
2,0,0.6984126984126984,540741.56
2,1,0.717948717948718,520158.3
2,2,0.7387387387387387,531829.25
2,3,0.7027863777089783,545251.06
2,4,0.6898395721925134,536606.75
2,5,0.7039106145251397,529897.4
2,6,0.8088737201365188,534056.25
2,7,0.731629392971246,528799.56
2,8,0.6820987654320988,532775.6
2,9,0.6925373134328359,549922.6
3,0,0.7111111111111111,538703.06
3,1,0.6634615384615384,544556.94
3,2,0.6666666666666666,552802.94
3,3,0.6749226006191951,566200.4
3,4,0.6497326203208557,541204.2
3,5,0.6620111731843575,540150.56
3,6,0.7508532423208191,569016.25
3,7,0.6964856230031949,549457.75
3,8,0.6759259259259259,524301.44
3,9,0.7134328358208956,513929.06
