tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33300,1000000000000,1000000000000,False
1000000000000,34966,1000000000000,1000000000000,False
1000000000000,41632,1000000000000,1000000000000,False
1000000000000,36790,1000000000000,1000000000000,False
1000000000000,34273,1000000000000,1000000000000,False
37284,1000000000000,1000000000000,1000000000000,True
32614,1000000000000,1000000000000,1000000000000,True
1000000000000,42186,1000000000000,1000000000000,False
58821,1000000000000,1000000000000,1000000000000,True
1000000000000,38941,1000000000000,1000000000000,False
1000000000000,38049,1000000000000,1000000000000,False
33548,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59628,True
1000000000000,39879,1000000000000,1000000000000,False
1000000000000,36313,1000000000000,1000000000000,False
1000000000000,37359,1000000000000,1000000000000,False
34619,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,35083,1000000000000,False
44874,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,36952,1000000000000,False
1000000000000,1000000000000,42126,1000000000000,False
1000000000000,1000000000000,38650,1000000000000,False
1000000000000,1000000000000,37579,1000000000000,False
35618,1000000000000,1000000000000,1000000000000,True
34358,1000000000000,1000000000000,1000000000000,True
50050,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40954,1000000000000,False
46232,1000000000000,1000000000000,1000000000000,True
1000000000000,45255,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58872,True
1000000000000,1000000000000,44331,1000000000000,False
53130,1000000000000,1000000000000,1000000000000,True
1000000000000,46101,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,43813,False
1000000000000,1000000000000,43965,1000000000000,False
39175,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40147,1000000000000,False
53433,1000000000000,1000000000000,1000000000000,True
36071,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40637,1000000000000,False
1000000000000,1000000000000,42472,1000000000000,False
1000000000000,1000000000000,1000000000000,44402,False
39594,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46023,False
1000000000000,1000000000000,1000000000000,44868,False
40868,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46502,1000000000000,False
43734,1000000000000,1000000000000,1000000000000,True
1000000000000,44419,1000000000000,1000000000000,False
36944,1000000000000,1000000000000,1000000000000,True
1000000000000,43647,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,45813,False
1000000000000,1000000000000,1000000000000,46280,False
42537,1000000000000,1000000000000,1000000000000,True
43466,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46643,False
1000000000000,1000000000000,1000000000000,59508,True
37909,1000000000000,1000000000000,1000000000000,True
45867,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46837,False
1000000000000,1000000000000,1000000000000,47086,False
38932,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47896,1000000000000,False
1000000000000,1000000000000,1000000000000,46504,False
57436,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47504,False
1000000000000,1000000000000,1000000000000,47515,False
1000000000000,1000000000000,46760,1000000000000,False
1000000000000,1000000000000,1000000000000,47870,False
51092,1000000000000,1000000000000,1000000000000,True
1000000000000,46511,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46926,False
40491,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49173,False
52832,1000000000000,1000000000000,1000000000000,True
46616,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48131,False
54023,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46993,1000000000000,False
44032,1000000000000,1000000000000,1000000000000,True
50269,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47892,False
40008,1000000000000,1000000000000,1000000000000,True
1000000000000,43995,1000000000000,1000000000000,False
43074,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47560,1000000000000,False
41691,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48954,False
1000000000000,1000000000000,46263,1000000000000,False
1000000000000,50506,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58628,True
1000000000000,1000000000000,1000000000000,49867,False
1000000000000,1000000000000,1000000000000,59557,True
53789,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45835,1000000000000,False
1000000000000,47231,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48577,False
1000000000000,1000000000000,49044,1000000000000,False
1000000000000,49611,1000000000000,1000000000000,False
48528,1000000000000,1000000000000,1000000000000,True
44440,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50550,False
