t,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y
32400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32401,9989.583333333334,10000.0,10000.0,10000.0,10000.0,10000.0
32402,9979.166666666668,10000.0,10000.0,10000.0,10000.0,10000.0
32403,9968.750000000002,10000.0,10000.0,10000.0,10000.0,10000.0
32404,9958.333333333336,10000.0,10000.0,10000.0,10000.0,10000.0
32405,9947.91666666667,10000.0,10000.0,10000.0,10000.0,10000.0
32406,9937.500000000004,10000.0,10000.0,10000.0,10000.0,10000.0
32407,9927.083333333338,10000.0,10000.0,10000.0,10000.0,10000.0
32408,9916.666666666672,10000.0,10000.0,10000.0,10000.0,10000.0
32409,9906.250000000005,10000.0,10000.0,10000.0,10000.0,10000.0
32410,9895.83333333334,10000.0,10000.0,10000.0,10000.0,10000.0
32411,9885.416666666673,10000.0,10000.0,10000.0,10000.0,10000.0
32412,9875.000000000007,10000.0,10000.0,10000.0,10000.0,10000.0
32413,9864.583333333341,10000.0,10000.0,10000.0,10000.0,10000.0
32414,9854.166666666675,10000.0,10000.0,10000.0,10000.0,10000.0
32415,9843.75000000001,10000.0,10000.0,10000.0,10000.0,10000.0
32416,9833.333333333343,10000.0,10000.0,10000.0,10000.0,10000.0
32417,9822.916666666677,10000.0,10000.0,10000.0,10000.0,10000.0
32418,9812.500000000011,10000.0,10000.0,10000.0,10000.0,10000.0
32419,9802.083333333345,10000.0,10000.0,10000.0,10000.0,10000.0
32420,9791.666666666679,10000.0,10000.0,10000.0,10000.0,10000.0
32421,9781.250000000013,10000.0,10000.0,10000.0,10000.0,10000.0
32422,9770.833333333347,10000.0,10000.0,10000.0,10000.0,10000.0
32423,9760.41666666668,10000.0,10000.0,10000.0,10000.0,10000.0
32424,9750.000000000015,10000.0,10000.0,10000.0,10000.0,10000.0
32425,9739.583333333348,10000.0,10000.0,10000.0,10000.0,10000.0
32426,9729.166666666682,10000.0,10000.0,10000.0,10000.0,10000.0
32427,9718.750000000016,10000.0,10000.0,10000.0,10000.0,10000.0
32428,9708.33333333335,10000.0,10000.0,10000.0,10000.0,10000.0
32429,9697.916666666684,10000.0,10000.0,10000.0,10000.0,10000.0
32430,9687.500000000018,10000.0,10000.0,10000.0,10000.0,10000.0
32431,9677.083333333352,10000.0,10000.0,10000.0,10000.0,10000.0
32432,9666.666666666686,10000.0,10000.0,10000.0,10000.0,10000.0
32433,9656.25000000002,10000.0,10000.0,10000.0,10000.0,10000.0
32434,9645.833333333354,10000.0,10000.0,10000.0,10000.0,10000.0
32435,9635.416666666688,10000.0,10000.0,10000.0,10000.0,10000.0
32436,9625.000000000022,10000.0,10000.0,10000.0,10000.0,10000.0
32437,9614.583333333356,10000.0,10000.0,10000.0,10000.0,10000.0
32438,9604.16666666669,10000.0,10000.0,10000.0,10000.0,10000.0
32439,9593.750000000024,10000.0,10000.0,10000.0,10000.0,10000.0
32440,9592.6083984375,10000.0,10000.0,10000.0,10000.0,10000.0
32441,9592.6083984375,9989.583333333334,10000.0,10000.0,10000.0,10000.0
32442,9592.6083984375,9979.166666666668,10000.0,10000.0,10000.0,10000.0
32443,9592.6083984375,9968.750000000002,10000.0,10000.0,10000.0,10000.0
32444,9592.6083984375,9958.333333333336,10000.0,10000.0,10000.0,10000.0
32445,9592.6083984375,9947.91666666667,10000.0,10000.0,10000.0,10000.0
32446,9592.6083984375,9937.500000000004,10000.0,10000.0,10000.0,10000.0
32447,9592.6083984375,9927.083333333338,9989.583333333334,10000.0,10000.0,10000.0
32448,9592.6083984375,9916.666666666672,9979.166666666668,10000.0,10000.0,10000.0
32449,9592.6083984375,9906.250000000005,9968.750000000002,10000.0,10000.0,10000.0
32450,9592.6083984375,9895.83333333334,9958.333333333336,10000.0,10000.0,10000.0
32451,9592.6083984375,9885.416666666673,9947.91666666667,10000.0,10000.0,10000.0
32452,9592.6083984375,9875.000000000007,9937.500000000004,10000.0,10000.0,10000.0
32453,9592.6083984375,9864.583333333341,9927.083333333338,10000.0,10000.0,10000.0
32454,9592.6083984375,9854.166666666675,9916.666666666672,10000.0,10000.0,10000.0
32455,9592.6083984375,9843.75000000001,9906.250000000005,10000.0,10000.0,10000.0
32456,9592.6083984375,9833.333333333343,9895.83333333334,10000.0,10000.0,10000.0
32457,9592.6083984375,9822.916666666677,9885.416666666673,10000.0,10000.0,10000.0
32458,9592.6083984375,9812.500000000011,9875.000000000007,10000.0,10000.0,10000.0
32459,9592.6083984375,9802.083333333345,9864.583333333341,10000.0,10000.0,10000.0
32460,9592.6083984375,9791.666666666679,9854.166666666675,10000.0,10000.0,10000.0
32461,9592.6083984375,9781.250000000013,9843.75000000001,10000.0,10000.0,10000.0
32462,9592.6083984375,9770.833333333347,9833.333333333343,10000.0,10000.0,10000.0
32463,9592.6083984375,9760.41666666668,9822.916666666677,10000.0,10000.0,10000.0
32464,9592.6083984375,9750.000000000015,9812.500000000011,10000.0,10000.0,10000.0
32465,9592.6083984375,9739.583333333348,9802.083333333345,10000.0,10000.0,10000.0
32466,9592.6083984375,9729.166666666682,9791.666666666679,10000.0,10000.0,10000.0
32467,9592.6083984375,9718.750000000016,9781.250000000013,10000.0,10000.0,10000.0
32468,9592.6083984375,9708.33333333335,9770.833333333347,10000.0,10000.0,10000.0
32469,9592.6083984375,9697.916666666684,9760.41666666668,10000.0,10000.0,10000.0
32470,9592.6083984375,9687.500000000018,9750.000000000015,10000.0,10000.0,10000.0
32471,9592.6083984375,9677.083333333352,9739.583333333348,10000.0,10000.0,10000.0
32472,9592.6083984375,9666.666666666686,9729.166666666682,10000.0,10000.0,10000.0
32473,9592.6083984375,9656.25000000002,9718.750000000016,10000.0,10000.0,10000.0
32474,9592.6083984375,9645.833333333354,9708.33333333335,10000.0,10000.0,10000.0
32475,9592.6083984375,9635.416666666688,9697.916666666684,10000.0,10000.0,10000.0
32476,9592.6083984375,9625.000000000022,9687.500000000018,10000.0,10000.0,10000.0
32477,9592.6083984375,9614.583333333356,9677.083333333352,10000.0,10000.0,10000.0
32478,9592.6083984375,9604.16666666669,9666.666666666686,10000.0,10000.0,10000.0
32479,9592.6083984375,9593.750000000024,9656.25000000002,10000.0,10000.0,10000.0
32480,9592.6083984375,9583.333333333358,9645.833333333354,10000.0,10000.0,10000.0
32481,9592.6083984375,9572.916666666692,9635.416666666688,10000.0,10000.0,10000.0
32482,9592.6083984375,9562.500000000025,9625.000000000022,10000.0,10000.0,10000.0
32483,9592.6083984375,9552.08333333336,9614.583333333356,10000.0,10000.0,10000.0
32484,9592.6083984375,9541.666666666693,9604.16666666669,10000.0,10000.0,10000.0
32485,9592.6083984375,9531.250000000027,9593.750000000024,10000.0,10000.0,10000.0
32486,9592.6083984375,9520.833333333361,9583.333333333358,10000.0,10000.0,10000.0
32487,9592.6083984375,9510.416666666695,9572.916666666692,10000.0,10000.0,10000.0
32488,9592.6083984375,9500.00000000003,9562.500000000025,10000.0,10000.0,10000.0
32489,9592.6083984375,9489.583333333363,9552.08333333336,10000.0,10000.0,10000.0
32490,9592.6083984375,9479.166666666697,9541.666666666693,10000.0,10000.0,10000.0
32491,9592.6083984375,9468.750000000031,9531.250000000027,10000.0,10000.0,10000.0
32492,9592.6083984375,9458.333333333365,9520.833333333361,10000.0,10000.0,10000.0
32493,9592.6083984375,9447.916666666699,9510.416666666695,10000.0,10000.0,10000.0
32494,9592.6083984375,9437.500000000033,9500.00000000003,10000.0,10000.0,10000.0
32495,9592.6083984375,9427.083333333367,9489.583333333363,10000.0,10000.0,10000.0
32496,9592.6083984375,9416.6666666667,9479.166666666697,10000.0,10000.0,10000.0
32497,9592.6083984375,9406.250000000035,9468.750000000031,10000.0,10000.0,10000.0
32498,9592.6083984375,9395.833333333369,9458.333333333365,10000.0,10000.0,10000.0
32499,9592.6083984375,9385.416666666702,9447.916666666699,10000.0,10000.0,10000.0
32500,9592.6083984375,9375.000000000036,9437.500000000033,10000.0,10000.0,10000.0
32501,9592.6083984375,9364.58333333337,9427.083333333367,10000.0,10000.0,10000.0
32502,9592.6083984375,9354.166666666704,9416.6666666667,10000.0,10000.0,10000.0
32503,9592.6083984375,9343.750000000038,9406.250000000035,10000.0,10000.0,10000.0
32504,9592.6083984375,9333.333333333372,9395.833333333369,10000.0,10000.0,10000.0
32505,9592.6083984375,9322.916666666706,9385.416666666702,10000.0,10000.0,10000.0
32506,9592.6083984375,9312.50000000004,9375.000000000036,10000.0,10000.0,10000.0
32507,9592.6083984375,9302.083333333374,9364.58333333337,10000.0,10000.0,10000.0
32508,9592.6083984375,9291.666666666708,9354.166666666704,10000.0,10000.0,10000.0
32509,9592.6083984375,9281.250000000042,9343.750000000038,10000.0,10000.0,10000.0
32510,9592.6083984375,9270.833333333376,9333.333333333372,10000.0,10000.0,10000.0
32511,9592.6083984375,9260.41666666671,9322.916666666706,10000.0,10000.0,10000.0
32512,9592.6083984375,9250.000000000044,9312.50000000004,10000.0,10000.0,10000.0
32513,9592.6083984375,9239.583333333378,9302.083333333374,10000.0,10000.0,10000.0
32514,9592.6083984375,9229.166666666712,9291.666666666708,10000.0,10000.0,10000.0
32515,9592.6083984375,9218.750000000045,9281.250000000042,10000.0,10000.0,10000.0
32516,9592.6083984375,9208.33333333338,9270.833333333376,10000.0,10000.0,10000.0
32517,9592.6083984375,9197.916666666713,9260.41666666671,10000.0,10000.0,10000.0
32518,9592.6083984375,9187.500000000047,9250.000000000044,10000.0,10000.0,10000.0
32519,9592.6083984375,9177.083333333381,9239.583333333378,10000.0,10000.0,10000.0
32520,9592.6083984375,9166.666666666715,9229.166666666712,10000.0,10000.0,10000.0
32521,9592.6083984375,9156.25000000005,9218.750000000045,10000.0,10000.0,10000.0
32522,9592.6083984375,9145.833333333383,9208.33333333338,10000.0,10000.0,10000.0
32523,9592.6083984375,9135.416666666717,9197.916666666713,10000.0,10000.0,10000.0
32524,9592.6083984375,9125.000000000051,9187.500000000047,10000.0,10000.0,10000.0
32525,9592.6083984375,9114.583333333385,9177.083333333381,10000.0,10000.0,10000.0
32526,9592.6083984375,9104.166666666719,9166.666666666715,10000.0,10000.0,10000.0
32527,9592.6083984375,9093.750000000053,9156.25000000005,10000.0,10000.0,10000.0
32528,9592.6083984375,9083.333333333387,9145.833333333383,10000.0,10000.0,10000.0
