tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33614,1000000000000,1000000000000,False
1000000000000,37961,1000000000000,1000000000000,False
1000000000000,41258,1000000000000,1000000000000,False
1000000000000,40996,1000000000000,1000000000000,False
1000000000000,38842,1000000000000,1000000000000,False
34533,1000000000000,1000000000000,1000000000000,True
1000000000000,35045,1000000000000,1000000000000,False
1000000000000,35811,1000000000000,1000000000000,False
1000000000000,36667,1000000000000,1000000000000,False
38941,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,35454,1000000000000,False
1000000000000,1000000000000,40555,1000000000000,False
37392,1000000000000,1000000000000,1000000000000,True
35933,1000000000000,1000000000000,1000000000000,True
1000000000000,44580,1000000000000,1000000000000,False
1000000000000,1000000000000,38623,1000000000000,False
1000000000000,1000000000000,37173,1000000000000,False
1000000000000,43307,1000000000000,1000000000000,False
36189,1000000000000,1000000000000,1000000000000,True
42673,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44946,False
1000000000000,1000000000000,1000000000000,46350,False
1000000000000,46532,1000000000000,1000000000000,False
37910,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46603,False
1000000000000,1000000000000,1000000000000,59143,True
1000000000000,1000000000000,1000000000000,46140,False
1000000000000,45405,1000000000000,1000000000000,False
1000000000000,1000000000000,45225,1000000000000,False
41881,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46993,False
39414,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44131,1000000000000,False
1000000000000,1000000000000,1000000000000,59444,True
1000000000000,1000000000000,42198,1000000000000,False
1000000000000,1000000000000,48061,1000000000000,False
40102,1000000000000,1000000000000,1000000000000,True
1000000000000,44219,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48717,False
1000000000000,1000000000000,1000000000000,48238,False
1000000000000,42563,1000000000000,1000000000000,False
41416,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44848,1000000000000,False
1000000000000,1000000000000,1000000000000,59010,True
1000000000000,1000000000000,1000000000000,48378,False
1000000000000,1000000000000,1000000000000,59678,True
40688,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43734,1000000000000,False
1000000000000,45707,1000000000000,1000000000000,False
1000000000000,1000000000000,43038,1000000000000,False
1000000000000,51130,1000000000000,1000000000000,False
1000000000000,1000000000000,48651,1000000000000,False
1000000000000,1000000000000,1000000000000,48958,False
1000000000000,43718,1000000000000,1000000000000,False
47884,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50013,False
48648,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42700,1000000000000,False
1000000000000,1000000000000,46103,1000000000000,False
1000000000000,50260,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50721,False
1000000000000,1000000000000,1000000000000,50987,False
1000000000000,1000000000000,1000000000000,50767,False
1000000000000,47061,1000000000000,1000000000000,False
1000000000000,1000000000000,52321,1000000000000,False
1000000000000,1000000000000,1000000000000,51123,False
1000000000000,45007,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50974,False
1000000000000,1000000000000,1000000000000,51420,False
1000000000000,1000000000000,1000000000000,50869,False
1000000000000,1000000000000,1000000000000,58703,True
1000000000000,1000000000000,1000000000000,50796,False
49525,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52023,False
1000000000000,1000000000000,1000000000000,52423,False
1000000000000,1000000000000,1000000000000,52022,False
47223,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52228,False
53166,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53365,False
1000000000000,1000000000000,1000000000000,52546,False
43678,1000000000000,1000000000000,1000000000000,True
1000000000000,51649,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53403,False
1000000000000,48469,1000000000000,1000000000000,False
1000000000000,1000000000000,50944,1000000000000,False
51994,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52635,False
1000000000000,1000000000000,1000000000000,52514,False
1000000000000,1000000000000,1000000000000,59535,True
1000000000000,1000000000000,1000000000000,53424,False
50259,1000000000000,1000000000000,1000000000000,True
1000000000000,54806,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53415,False
1000000000000,1000000000000,1000000000000,53410,False
54001,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,54641,1000000000000,False
45846,1000000000000,1000000000000,1000000000000,True
44785,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59415,True
50683,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53513,False
1000000000000,1000000000000,1000000000000,53710,False
1000000000000,1000000000000,1000000000000,53094,False
44469,1000000000000,1000000000000,1000000000000,True
46638,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,54226,False
1000000000000,52754,1000000000000,1000000000000,False
49890,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,54005,False
1000000000000,52069,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54929,False
1000000000000,1000000000000,1000000000000,54781,False
1000000000000,1000000000000,51952,1000000000000,False
1000000000000,1000000000000,1000000000000,55154,False
1000000000000,50658,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59331,True
1000000000000,56546,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55383,False
1000000000000,1000000000000,1000000000000,54590,False
1000000000000,1000000000000,1000000000000,54171,False
1000000000000,56913,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54780,False
1000000000000,1000000000000,1000000000000,55004,False
59471,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,57190,1000000000000,False
1000000000000,1000000000000,1000000000000,58851,True
1000000000000,1000000000000,1000000000000,55799,False
1000000000000,49373,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55551,False
1000000000000,1000000000000,1000000000000,59374,True
1000000000000,1000000000000,1000000000000,55099,False
1000000000000,1000000000000,54257,1000000000000,False
1000000000000,57476,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59155,True
1000000000000,1000000000000,1000000000000,55639,False
1000000000000,1000000000000,1000000000000,59223,True
1000000000000,48914,1000000000000,1000000000000,False
1000000000000,49837,1000000000000,1000000000000,False
51096,1000000000000,1000000000000,1000000000000,True
1000000000000,58027,1000000000000,1000000000000,False
58696,1000000000000,1000000000000,1000000000000,True
1000000000000,55635,1000000000000,1000000000000,False
1000000000000,1000000000000,56738,1000000000000,False
52252,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59908,True
1000000000000,1000000000000,1000000000000,56319,False
1000000000000,1000000000000,1000000000000,56668,False
56677,1000000000000,1000000000000,1000000000000,True
53560,1000000000000,1000000000000,1000000000000,True
48192,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52545,1000000000000,False
1000000000000,1000000000000,53727,1000000000000,False
1000000000000,53734,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58526,False
1000000000000,1000000000000,59594,1000000000000,False
1000000000000,1000000000000,1000000000000,58523,False
1000000000000,1000000000000,52814,1000000000000,False
1000000000000,1000000000000,1000000000000,58886,True
49186,1000000000000,1000000000000,1000000000000,True
55721,1000000000000,1000000000000,1000000000000,True
1000000000000,59893,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59469,False
1000000000000,1000000000000,1000000000000,58371,True
1000000000000,1000000000000,1000000000000,59432,True
1000000000000,1000000000000,53135,1000000000000,False
1000000000000,1000000000000,1000000000000,58640,True
1000000000000,1000000000000,51290,1000000000000,False
1000000000000,1000000000000,1000000000000,59726,False
57014,1000000000000,1000000000000,1000000000000,True
1000000000000,55197,1000000000000,1000000000000,False
51484,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58359,False
52830,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59021,False
1000000000000,56188,1000000000000,1000000000000,False
1000000000000,1000000000000,59086,1000000000000,False
1000000000000,1000000000000,1000000000000,59843,False
1000000000000,1000000000000,1000000000000,59231,True
1000000000000,1000000000000,57804,1000000000000,False
59127,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59494,False
1000000000000,1000000000000,1000000000000,59121,True
55978,1000000000000,1000000000000,1000000000000,True
1000000000000,59526,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,58781,True
1000000000000,54211,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59558,False
56194,1000000000000,1000000000000,1000000000000,True
54941,1000000000000,1000000000000,1000000000000,True
57544,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59271,True
1000000000000,1000000000000,1000000000000,59450,False
1000000000000,1000000000000,1000000000000,59292,True
1000000000000,1000000000000,1000000000000,59372,False
1000000000000,1000000000000,1000000000000,58947,False
1000000000000,1000000000000,58236,1000000000000,False
1000000000000,1000000000000,1000000000000,58858,False
1000000000000,1000000000000,1000000000000,59316,False
1000000000000,1000000000000,1000000000000,59381,False
1000000000000,1000000000000,1000000000000,59594,True
1000000000000,1000000000000,1000000000000,58754,False
58285,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58827,False
1000000000000,1000000000000,1000000000000,59562,False
1000000000000,1000000000000,1000000000000,58295,False
1000000000000,1000000000000,1000000000000,58677,False
1000000000000,1000000000000,1000000000000,59747,True
1000000000000,1000000000000,1000000000000,58200,True
