tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33507,1000000000000,1000000000000,False
1000000000000,38587,1000000000000,1000000000000,False
33809,1000000000000,1000000000000,1000000000000,True
33015,1000000000000,1000000000000,1000000000000,True
1000000000000,36891,1000000000000,1000000000000,False
1000000000000,37380,1000000000000,1000000000000,False
1000000000000,38214,1000000000000,1000000000000,False
36672,1000000000000,1000000000000,1000000000000,True
1000000000000,35820,1000000000000,1000000000000,False
35206,1000000000000,1000000000000,1000000000000,True
1000000000000,34819,1000000000000,1000000000000,False
1000000000000,36063,1000000000000,1000000000000,False
35781,1000000000000,1000000000000,1000000000000,True
1000000000000,40877,1000000000000,1000000000000,False
1000000000000,1000000000000,36144,1000000000000,False
34232,1000000000000,1000000000000,1000000000000,True
1000000000000,41482,1000000000000,1000000000000,False
1000000000000,1000000000000,39507,1000000000000,False
1000000000000,1000000000000,42771,1000000000000,False
39859,1000000000000,1000000000000,1000000000000,True
1000000000000,40644,1000000000000,1000000000000,False
1000000000000,43244,1000000000000,1000000000000,False
43825,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43227,1000000000000,False
1000000000000,1000000000000,38726,1000000000000,False
39124,1000000000000,1000000000000,1000000000000,True
1000000000000,47119,1000000000000,1000000000000,False
1000000000000,41783,1000000000000,1000000000000,False
1000000000000,1000000000000,44793,1000000000000,False
1000000000000,1000000000000,40530,1000000000000,False
1000000000000,1000000000000,42487,1000000000000,False
1000000000000,46398,1000000000000,1000000000000,False
1000000000000,41221,1000000000000,1000000000000,False
1000000000000,1000000000000,38125,1000000000000,False
37880,1000000000000,1000000000000,1000000000000,True
38664,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47125,False
42263,1000000000000,1000000000000,1000000000000,True
1000000000000,42125,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47438,False
1000000000000,40259,1000000000000,1000000000000,False
1000000000000,39696,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48749,False
1000000000000,42544,1000000000000,1000000000000,False
1000000000000,45067,1000000000000,1000000000000,False
53301,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49219,False
41832,1000000000000,1000000000000,1000000000000,True
43118,1000000000000,1000000000000,1000000000000,True
39597,1000000000000,1000000000000,1000000000000,True
1000000000000,45375,1000000000000,1000000000000,False
1000000000000,47312,1000000000000,1000000000000,False
1000000000000,44505,1000000000000,1000000000000,False
41112,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59928,True
40405,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48594,1000000000000,False
1000000000000,1000000000000,50102,1000000000000,False
44213,1000000000000,1000000000000,1000000000000,True
1000000000000,44810,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50365,False
1000000000000,50635,1000000000000,1000000000000,False
60177,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,49227,1000000000000,False
50048,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48861,1000000000000,False
1000000000000,1000000000000,1000000000000,50735,False
55541,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47537,1000000000000,False
1000000000000,1000000000000,1000000000000,50392,False
1000000000000,1000000000000,1000000000000,58838,True
1000000000000,1000000000000,1000000000000,51908,False
1000000000000,1000000000000,1000000000000,51905,False
1000000000000,1000000000000,52386,1000000000000,False
1000000000000,1000000000000,50319,1000000000000,False
1000000000000,1000000000000,1000000000000,51268,False
47997,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52855,1000000000000,False
54911,1000000000000,1000000000000,1000000000000,True
1000000000000,46802,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51577,False
1000000000000,1000000000000,1000000000000,51790,False
44875,1000000000000,1000000000000,1000000000000,True
46416,1000000000000,1000000000000,1000000000000,True
45824,1000000000000,1000000000000,1000000000000,True
42736,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52158,False
1000000000000,45865,1000000000000,1000000000000,False
57958,1000000000000,1000000000000,1000000000000,True
59465,1000000000000,1000000000000,1000000000000,True
51208,1000000000000,1000000000000,1000000000000,True
1000000000000,44200,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52582,False
53819,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52486,False
46805,1000000000000,1000000000000,1000000000000,True
54584,1000000000000,1000000000000,1000000000000,True
51569,1000000000000,1000000000000,1000000000000,True
1000000000000,49019,1000000000000,1000000000000,False
60418,1000000000000,1000000000000,1000000000000,True
1000000000000,49683,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53108,False
1000000000000,1000000000000,46549,1000000000000,False
48627,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53370,1000000000000,False
1000000000000,1000000000000,1000000000000,53271,False
1000000000000,50281,1000000000000,1000000000000,False
50529,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47121,1000000000000,False
1000000000000,1000000000000,47900,1000000000000,False
1000000000000,51173,1000000000000,1000000000000,False
1000000000000,1000000000000,54870,1000000000000,False
47096,1000000000000,1000000000000,1000000000000,True
45327,1000000000000,1000000000000,1000000000000,True
54066,1000000000000,1000000000000,1000000000000,True
1000000000000,48693,1000000000000,1000000000000,False
1000000000000,1000000000000,46825,1000000000000,False
1000000000000,56211,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55594,False
1000000000000,51579,1000000000000,1000000000000,False
1000000000000,53190,1000000000000,1000000000000,False
1000000000000,49976,1000000000000,1000000000000,False
1000000000000,52662,1000000000000,1000000000000,False
50921,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,55602,False
1000000000000,1000000000000,1000000000000,60256,True
1000000000000,1000000000000,51530,1000000000000,False
53080,1000000000000,1000000000000,1000000000000,True
1000000000000,48254,1000000000000,1000000000000,False
53557,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,56521,False
