tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,33476,1000000000000,1000000000000,False
1000000000000,37950,1000000000000,1000000000000,False
1000000000000,40473,1000000000000,1000000000000,False
1000000000000,38320,1000000000000,1000000000000,False
1000000000000,35072,1000000000000,1000000000000,False
1000000000000,35390,1000000000000,1000000000000,False
1000000000000,38815,1000000000000,1000000000000,False
1000000000000,36757,1000000000000,1000000000000,False
1000000000000,36007,1000000000000,1000000000000,False
35043,1000000000000,1000000000000,1000000000000,True
34392,1000000000000,1000000000000,1000000000000,True
1000000000000,43620,1000000000000,1000000000000,False
1000000000000,45511,1000000000000,1000000000000,False
1000000000000,1000000000000,37683,1000000000000,False
37102,1000000000000,1000000000000,1000000000000,True
37394,1000000000000,1000000000000,1000000000000,True
1000000000000,43976,1000000000000,1000000000000,False
1000000000000,1000000000000,39778,1000000000000,False
1000000000000,1000000000000,40906,1000000000000,False
39246,1000000000000,1000000000000,1000000000000,True
38410,1000000000000,1000000000000,1000000000000,True
1000000000000,42192,1000000000000,1000000000000,False
1000000000000,42587,1000000000000,1000000000000,False
1000000000000,1000000000000,46110,1000000000000,False
1000000000000,1000000000000,1000000000000,48292,False
1000000000000,1000000000000,46939,1000000000000,False
1000000000000,1000000000000,1000000000000,49211,False
40617,1000000000000,1000000000000,1000000000000,True
1000000000000,49950,1000000000000,1000000000000,False
1000000000000,1000000000000,43390,1000000000000,False
1000000000000,1000000000000,1000000000000,49378,False
39965,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44149,1000000000000,False
1000000000000,1000000000000,46491,1000000000000,False
49380,1000000000000,1000000000000,1000000000000,True
1000000000000,44392,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49599,False
50977,1000000000000,1000000000000,1000000000000,True
41548,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,45609,1000000000000,False
1000000000000,41861,1000000000000,1000000000000,False
1000000000000,44829,1000000000000,1000000000000,False
1000000000000,1000000000000,50165,1000000000000,False
1000000000000,43206,1000000000000,1000000000000,False
1000000000000,46300,1000000000000,1000000000000,False
41131,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42471,1000000000000,False
1000000000000,1000000000000,43766,1000000000000,False
1000000000000,1000000000000,1000000000000,50078,False
51869,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50736,False
1000000000000,49383,1000000000000,1000000000000,False
1000000000000,1000000000000,44709,1000000000000,False
1000000000000,1000000000000,1000000000000,59579,True
1000000000000,1000000000000,42995,1000000000000,False
1000000000000,1000000000000,1000000000000,59567,True
1000000000000,48568,1000000000000,1000000000000,False
42305,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50880,1000000000000,False
1000000000000,1000000000000,1000000000000,51473,False
1000000000000,1000000000000,1000000000000,59835,True
1000000000000,1000000000000,1000000000000,51471,False
1000000000000,1000000000000,1000000000000,51230,False
1000000000000,47136,1000000000000,1000000000000,False
1000000000000,49707,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51074,False
1000000000000,1000000000000,49924,1000000000000,False
1000000000000,1000000000000,1000000000000,52269,False
1000000000000,1000000000000,50634,1000000000000,False
1000000000000,1000000000000,1000000000000,51309,False
1000000000000,1000000000000,1000000000000,51238,False
1000000000000,1000000000000,1000000000000,52152,False
1000000000000,1000000000000,1000000000000,52105,False
42927,1000000000000,1000000000000,1000000000000,True
1000000000000,49023,1000000000000,1000000000000,False
1000000000000,1000000000000,50377,1000000000000,False
1000000000000,48169,1000000000000,1000000000000,False
1000000000000,1000000000000,53950,1000000000000,False
43446,1000000000000,1000000000000,1000000000000,True
43705,1000000000000,1000000000000,1000000000000,True
1000000000000,54036,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52764,False
1000000000000,50255,1000000000000,1000000000000,False
44179,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52625,False
1000000000000,1000000000000,1000000000000,53314,False
1000000000000,1000000000000,54601,1000000000000,False
48014,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59864,True
1000000000000,1000000000000,1000000000000,53388,False
1000000000000,1000000000000,1000000000000,53342,False
1000000000000,1000000000000,1000000000000,53412,False
1000000000000,1000000000000,1000000000000,52872,False
1000000000000,1000000000000,1000000000000,53571,False
1000000000000,1000000000000,1000000000000,54080,False
47492,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,53817,False
1000000000000,1000000000000,51141,1000000000000,False
1000000000000,1000000000000,1000000000000,54388,False
44679,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59715,True
52222,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48632,1000000000000,False
1000000000000,1000000000000,1000000000000,54698,False
1000000000000,1000000000000,49112,1000000000000,False
1000000000000,53709,1000000000000,1000000000000,False
1000000000000,47554,1000000000000,1000000000000,False
45041,1000000000000,1000000000000,1000000000000,True
1000000000000,54332,1000000000000,1000000000000,False
50065,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53739,1000000000000,False
1000000000000,52423,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54792,False
1000000000000,1000000000000,54969,1000000000000,False
1000000000000,50500,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55409,False
1000000000000,1000000000000,1000000000000,55138,False
1000000000000,1000000000000,51545,1000000000000,False
1000000000000,52675,1000000000000,1000000000000,False
1000000000000,1000000000000,49648,1000000000000,False
1000000000000,1000000000000,55479,1000000000000,False
