Instancia,replica,U_relativa,,,,,,,,
0,0,0.501639344,,,,Estad’sticas Caso Base 50 km/hr desagregado por instancias,,,,
0,1,0.543046358,,,Instancia,I,II,III,IV,Todas
0,2,0.490084986,,,Min(U),46%,41%,49%,50%,40.65%
0,3,0.456140351,,,E(U),50%,44%,55%,53%,50.58%
0,4,0.459183673,,,Max(U),54%,48%,59%,55%,59.42%
0,5,0.485436893,,,,,,,,
0,6,0.5256917,,,,,,,,
0,7,0.458923513,,,,,,,,
0,8,0.542955326,,,,,,,,
0,9,0.541139241,,,,,,,,
1,0,0.479365079,,,,,,,,
1,1,0.479233227,,,,,,,,
1,2,0.44077135,,,,,,,,
1,3,0.42816092,,,,,,,,
1,4,0.437869822,,,,,,,,
1,5,0.424242424,,,,,,,,
1,6,0.40652819,,,,,,,,
1,7,0.445714286,,,,,,,,
1,8,0.410326087,,,,,,,,
1,9,0.48089172,,,,,,,,
2,0,0.574603175,,,,,,,,
2,1,0.522435897,,,,,,,,
2,2,0.51951952,,,,,,,,
2,3,0.489164087,,,,,,,,
2,4,0.548128342,,,,,,,,
2,5,0.530726257,,,,,,,,
2,6,0.590443686,,,,,,,,
2,7,0.594249201,,,,,,,,
2,8,0.564814815,,,,,,,,
2,9,0.585074627,,,,,,,,
3,0,0.53968254,,,,,,,,
3,1,0.522435897,,,,,,,,
3,2,0.516516517,,,,,,,,
3,3,0.504643963,,,,,,,,
3,4,0.526737968,,,,,,,,
3,5,0.533519553,,,,,,,,
3,6,0.552901024,,,,,,,,
3,7,0.533546326,,,,,,,,
3,8,0.518518519,,,,,,,,
3,9,0.528358209,,,,,,,,
