tiempos_c0,tiempos_c1,tiempos_c2,indicador
1000000000000,1000000000000,1000000000000,True
1000000000000,33549,1000000000000,False
1000000000000,35863,1000000000000,False
1000000000000,41567,1000000000000,False
1000000000000,38419,1000000000000,False
1000000000000,34914,1000000000000,False
1000000000000,1000000000000,1000000000000,True
32630,1000000000000,1000000000000,True
1000000000000,42308,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,35829,False
1000000000000,39648,1000000000000,False
33941,1000000000000,1000000000000,True
50409,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,37794,1000000000000,False
1000000000000,40593,1000000000000,False
35368,1000000000000,1000000000000,True
1000000000000,39068,1000000000000,False
38524,1000000000000,1000000000000,True
1000000000000,1000000000000,44235,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,40932,False
1000000000000,1000000000000,42629,False
1000000000000,1000000000000,1000000000000,True
35066,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
39816,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
41351,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
37701,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
41716,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
36981,1000000000000,1000000000000,True
1000000000000,1000000000000,39217,False
1000000000000,1000000000000,1000000000000,False
35731,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
47912,1000000000000,1000000000000,True
1000000000000,45385,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,44408,1000000000000,False
1000000000000,1000000000000,40378,False
1000000000000,1000000000000,1000000000000,False
51355,1000000000000,1000000000000,True
48225,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
43636,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
39359,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,43334,False
37426,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,41921,False
46915,1000000000000,1000000000000,True
1000000000000,1000000000000,43741,False
1000000000000,1000000000000,44748,False
1000000000000,47473,1000000000000,False
1000000000000,1000000000000,45505,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47085,False
40994,1000000000000,1000000000000,True
40301,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
42421,1000000000000,1000000000000,True
1000000000000,47732,1000000000000,False
55181,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,44840,1000000000000,False
49176,1000000000000,1000000000000,True
1000000000000,48492,1000000000000,False
52444,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,47103,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
