tiempos_c0,tiempos_c1,tiempos_c2,indicador
1000000000000,1000000000000,1000000000000,True
1000000000000,35128,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,40687,1000000000000,False
33973,1000000000000,1000000000000,True
1000000000000,1000000000000,34207,False
1000000000000,38730,1000000000000,False
1000000000000,39374,1000000000000,False
1000000000000,42164,1000000000000,False
1000000000000,1000000000000,42212,False
1000000000000,38026,1000000000000,False
44889,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43560,False
45738,1000000000000,1000000000000,True
1000000000000,1000000000000,43050,False
36061,1000000000000,1000000000000,True
44526,1000000000000,1000000000000,True
34988,1000000000000,1000000000000,True
1000000000000,1000000000000,38071,False
1000000000000,1000000000000,36649,False
1000000000000,1000000000000,39640,False
42362,1000000000000,1000000000000,True
1000000000000,1000000000000,39154,False
1000000000000,1000000000000,1000000000000,True
43219,1000000000000,1000000000000,True
41904,1000000000000,1000000000000,True
48283,1000000000000,1000000000000,True
1000000000000,41485,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
37462,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,42497,1000000000000,False
1000000000000,40275,1000000000000,False
1000000000000,39863,1000000000000,False
1000000000000,43849,1000000000000,False
36503,1000000000000,1000000000000,True
38754,1000000000000,1000000000000,True
1000000000000,47191,1000000000000,False
55644,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
39989,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,47505,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,46683,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,50274,False
1000000000000,1000000000000,1000000000000,False
1000000000000,49229,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,48660,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
50193,1000000000000,1000000000000,True
40453,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
41419,1000000000000,1000000000000,True
1000000000000,49985,1000000000000,False
