tiempos_c0,tiempos_c1,tiempos_c2,indicador
1000000000000,1000000000000,1000000000000,True
33335,1000000000000,1000000000000,True
1000000000000,35276,1000000000000,False
1000000000000,1000000000000,34169,False
1000000000000,1000000000000,1000000000000,True
1000000000000,44055,1000000000000,False
39368,1000000000000,1000000000000,True
1000000000000,1000000000000,36216,False
35400,1000000000000,1000000000000,True
1000000000000,39902,1000000000000,False
1000000000000,1000000000000,38777,False
1000000000000,39216,1000000000000,False
34145,1000000000000,1000000000000,True
1000000000000,1000000000000,37747,False
1000000000000,45030,1000000000000,False
1000000000000,38528,1000000000000,False
1000000000000,1000000000000,36876,False
1000000000000,1000000000000,40110,False
1000000000000,42194,1000000000000,False
1000000000000,40321,1000000000000,False
1000000000000,41599,1000000000000,False
37878,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
36159,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,44567,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,41806,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,43781,False
38847,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
39989,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,42977,False
1000000000000,1000000000000,46863,False
1000000000000,1000000000000,45782,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
47581,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
58851,1000000000000,1000000000000,True
40264,1000000000000,1000000000000,True
1000000000000,1000000000000,48711,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44545,False
40656,1000000000000,1000000000000,True
1000000000000,1000000000000,44893,False
41577,1000000000000,1000000000000,True
41243,1000000000000,1000000000000,True
1000000000000,1000000000000,49952,False
58038,1000000000000,1000000000000,True
1000000000000,1000000000000,49581,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43500,False
1000000000000,1000000000000,1000000000000,False
42475,1000000000000,1000000000000,True
42796,1000000000000,1000000000000,True
1000000000000,50249,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,50697,1000000000000,False
1000000000000,1000000000000,1000000000000,True
59332,1000000000000,1000000000000,True
43587,1000000000000,1000000000000,True
1000000000000,48462,1000000000000,False
43944,1000000000000,1000000000000,True
48417,1000000000000,1000000000000,True
1000000000000,49823,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53286,False
45367,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,52544,False
1000000000000,1000000000000,1000000000000,True
1000000000000,47974,1000000000000,False
44460,1000000000000,1000000000000,True
55834,1000000000000,1000000000000,True
1000000000000,48731,1000000000000,False
1000000000000,1000000000000,52827,False
1000000000000,1000000000000,55296,False
1000000000000,51258,1000000000000,False
1000000000000,1000000000000,1000000000000,False
46341,1000000000000,1000000000000,True
56530,1000000000000,1000000000000,True
1000000000000,1000000000000,53979,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,49118,1000000000000,False
1000000000000,53185,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
46100,1000000000000,1000000000000,True
1000000000000,54801,1000000000000,False
1000000000000,49446,1000000000000,False
1000000000000,1000000000000,52174,False
1000000000000,1000000000000,56074,False
1000000000000,55341,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,47341,1000000000000,False
1000000000000,54503,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,56748,1000000000000,False
48011,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,54050,1000000000000,False
47212,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,54418,False
1000000000000,1000000000000,1000000000000,True
1000000000000,53412,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,56867,False
1000000000000,1000000000000,1000000000000,True
49354,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
51169,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,56228,1000000000000,False
1000000000000,53718,1000000000000,False
57654,1000000000000,1000000000000,True
59889,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
50505,1000000000000,1000000000000,True
1000000000000,59188,1000000000000,False
1000000000000,1000000000000,1000000000000,True
51445,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,55627,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
50085,1000000000000,1000000000000,True
54547,1000000000000,1000000000000,True
1000000000000,1000000000000,58223,False
1000000000000,1000000000000,1000000000000,False
51713,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
53449,1000000000000,1000000000000,True
52270,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,59731,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
52808,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,58805,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,True
57164,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,True
