tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
34716,1000000000000,1000000000000,1000000000000,True
50141,1000000000000,1000000000000,1000000000000,True
33532,1000000000000,1000000000000,1000000000000,True
1000000000000,34318,1000000000000,1000000000000,False
52869,1000000000000,1000000000000,1000000000000,True
1000000000000,36971,1000000000000,1000000000000,False
1000000000000,42092,1000000000000,1000000000000,False
1000000000000,1000000000000,34553,1000000000000,False
1000000000000,43329,1000000000000,1000000000000,False
53309,1000000000000,1000000000000,1000000000000,True
1000000000000,36011,1000000000000,1000000000000,False
1000000000000,1000000000000,43897,1000000000000,False
39552,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41628,1000000000000,False
1000000000000,42566,1000000000000,1000000000000,False
1000000000000,41314,1000000000000,1000000000000,False
1000000000000,1000000000000,40548,1000000000000,False
56793,1000000000000,1000000000000,1000000000000,True
36027,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,38053,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,37787,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,39099,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
40394,1000000000000,1000000000000,1000000000000,True
1000000000000,36562,1000000000000,1000000000000,False
1000000000000,1000000000000,38741,1000000000000,False
1000000000000,38523,1000000000000,1000000000000,False
1000000000000,1000000000000,37036,1000000000000,False
38506,1000000000000,1000000000000,1000000000000,True
42166,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41150,1000000000000,False
1000000000000,1000000000000,42411,1000000000000,False
1000000000000,45736,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37156,False
36924,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,40052,False
1000000000000,1000000000000,1000000000000,44306,False
38965,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,39358,False
1000000000000,1000000000000,1000000000000,44923,False
48736,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
49107,1000000000000,1000000000000,1000000000000,True
49564,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,48070,1000000000000,False
1000000000000,1000000000000,1000000000000,46892,False
1000000000000,1000000000000,1000000000000,41204,False
46307,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,40537,False
37580,1000000000000,1000000000000,1000000000000,True
59132,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45654,False
41943,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42332,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49283,1000000000000,1000000000000,False
1000000000000,45058,1000000000000,1000000000000,False
1000000000000,47185,1000000000000,1000000000000,False
1000000000000,1000000000000,46429,1000000000000,False
1000000000000,46435,1000000000000,1000000000000,False
1000000000000,48685,1000000000000,1000000000000,False
1000000000000,48221,1000000000000,1000000000000,False
46687,1000000000000,1000000000000,1000000000000,True
1000000000000,46027,1000000000000,1000000000000,False
1000000000000,1000000000000,49078,1000000000000,False
1000000000000,1000000000000,46767,1000000000000,False
45421,1000000000000,1000000000000,1000000000000,True
1000000000000,44656,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
57315,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51179,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
42992,1000000000000,1000000000000,1000000000000,True
1000000000000,51486,1000000000000,1000000000000,False
1000000000000,52243,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50576,False
55167,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50078,False
1000000000000,1000000000000,53194,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
46006,1000000000000,1000000000000,1000000000000,True
44052,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52584,False
1000000000000,47581,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,51503,1000000000000,False
1000000000000,1000000000000,49517,1000000000000,False
1000000000000,53506,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53635,False
1000000000000,1000000000000,1000000000000,50887,False
1000000000000,1000000000000,47621,1000000000000,False
44537,1000000000000,1000000000000,1000000000000,True
56474,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
47146,1000000000000,1000000000000,1000000000000,True
44986,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50086,1000000000000,False
1000000000000,1000000000000,1000000000000,51562,False
1000000000000,1000000000000,1000000000000,54706,False
50886,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,54324,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,True
56208,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,50671,1000000000000,1000000000000,False
48261,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
