tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,indicador
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,33979,1000000000000,1000000000000,False
39075,1000000000000,1000000000000,1000000000000,True
1000000000000,37292,1000000000000,1000000000000,False
1000000000000,38527,1000000000000,1000000000000,False
34073,1000000000000,1000000000000,1000000000000,True
1000000000000,40927,1000000000000,1000000000000,False
35509,1000000000000,1000000000000,1000000000000,True
1000000000000,36687,1000000000000,1000000000000,False
1000000000000,36231,1000000000000,1000000000000,False
1000000000000,35506,1000000000000,1000000000000,False
1000000000000,44669,1000000000000,1000000000000,False
1000000000000,1000000000000,37602,1000000000000,False
36925,1000000000000,1000000000000,1000000000000,True
38414,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42869,1000000000000,False
1000000000000,42372,1000000000000,1000000000000,False
1000000000000,43599,1000000000000,1000000000000,False
41860,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,44303,1000000000000,1000000000000,False
43278,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40562,1000000000000,False
40848,1000000000000,1000000000000,1000000000000,True
1000000000000,41817,1000000000000,1000000000000,False
1000000000000,1000000000000,43235,1000000000000,False
45203,1000000000000,1000000000000,1000000000000,True
1000000000000,43061,1000000000000,1000000000000,False
1000000000000,1000000000000,42454,1000000000000,False
1000000000000,44073,1000000000000,1000000000000,False
42885,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
44401,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46193,1000000000000,False
40294,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46465,1000000000000,False
1000000000000,1000000000000,41607,1000000000000,False
1000000000000,1000000000000,45520,1000000000000,False
1000000000000,45208,1000000000000,1000000000000,False
1000000000000,1000000000000,47262,1000000000000,False
1000000000000,1000000000000,1000000000000,42152,False
1000000000000,42765,1000000000000,1000000000000,False
45627,1000000000000,1000000000000,1000000000000,True
53747,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,49322,1000000000000,False
54545,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,True
