tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37038,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,33927,1000000000000,1000000000000,False
33834,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,41409,1000000000000,1000000000000,False
35856,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,42619,1000000000000,1000000000000,False
1000000000000,1000000000000,37282,1000000000000,1000000000000,False
1000000000000,1000000000000,35972,1000000000000,1000000000000,False
1000000000000,1000000000000,43212,1000000000000,1000000000000,False
34845,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40009,1000000000000,1000000000000,False
40079,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,37465,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44421,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36716,1000000000000,False
1000000000000,1000000000000,1000000000000,39576,1000000000000,False
1000000000000,1000000000000,1000000000000,43029,1000000000000,False
1000000000000,1000000000000,1000000000000,43849,1000000000000,False
1000000000000,1000000000000,45654,1000000000000,1000000000000,False
46990,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,41427,1000000000000,False
1000000000000,1000000000000,1000000000000,38871,1000000000000,False
46674,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,39395,False
1000000000000,1000000000000,1000000000000,1000000000000,48581,False
38413,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
39829,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48672,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42030,False
1000000000000,1000000000000,1000000000000,1000000000000,43334,False
1000000000000,1000000000000,1000000000000,1000000000000,45717,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
41295,1000000000000,1000000000000,1000000000000,1000000000000,True
44679,1000000000000,1000000000000,1000000000000,1000000000000,True
50268,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
52721,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45794,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,40440,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48560,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,45955,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,45826,1000000000000,False
1000000000000,1000000000000,47655,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,51819,False
52159,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
42041,1000000000000,1000000000000,1000000000000,1000000000000,True
43816,1000000000000,1000000000000,1000000000000,1000000000000,True
47454,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,48343,1000000000000,1000000000000,False
56540,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50015,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47013,1000000000000,False
54391,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47316,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
42859,1000000000000,1000000000000,1000000000000,1000000000000,True
50970,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,43278,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47228,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,49336,1000000000000,1000000000000,False
1000000000000,43672,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48766,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53023,False
1000000000000,1000000000000,1000000000000,49392,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50173,1000000000000,False
1000000000000,46490,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46293,1000000000000,False
55864,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46675,1000000000000,False
1000000000000,1000000000000,46903,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47940,1000000000000,False
1000000000000,1000000000000,55162,1000000000000,1000000000000,False
50642,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
48217,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53631,False
1000000000000,1000000000000,46425,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54635,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,54063,1000000000000,1000000000000,False
1000000000000,59210,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52546,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,54408,False
1000000000000,1000000000000,1000000000000,1000000000000,52686,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,55211,False
53531,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,52311,1000000000000,1000000000000,False
