tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
35194,1000000000000,1000000000000,1000000000000,1000000000000,True
36971,1000000000000,1000000000000,1000000000000,1000000000000,True
34028,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,35385,1000000000000,1000000000000,False
33253,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,37917,1000000000000,1000000000000,False
1000000000000,36091,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40578,1000000000000,1000000000000,False
1000000000000,1000000000000,43228,1000000000000,1000000000000,False
34712,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,43779,1000000000000,1000000000000,False
37285,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,38251,1000000000000,1000000000000,False
1000000000000,1000000000000,41688,1000000000000,1000000000000,False
1000000000000,1000000000000,44233,1000000000000,1000000000000,False
36471,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,38189,1000000000000,False
1000000000000,1000000000000,39180,1000000000000,1000000000000,False
1000000000000,1000000000000,38564,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,37322,False
1000000000000,1000000000000,40202,1000000000000,1000000000000,False
1000000000000,1000000000000,46857,1000000000000,1000000000000,False
48660,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46523,1000000000000,False
1000000000000,1000000000000,1000000000000,45612,1000000000000,False
1000000000000,1000000000000,1000000000000,44307,1000000000000,False
1000000000000,1000000000000,45882,1000000000000,1000000000000,False
37872,1000000000000,1000000000000,1000000000000,1000000000000,True
39912,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,39368,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,41038,1000000000000,False
38521,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43260,1000000000000,False
1000000000000,1000000000000,1000000000000,41909,1000000000000,False
1000000000000,1000000000000,46517,1000000000000,1000000000000,False
50628,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42665,1000000000000,False
1000000000000,1000000000000,1000000000000,41539,1000000000000,False
41813,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,41741,False
1000000000000,1000000000000,1000000000000,49366,1000000000000,False
40902,1000000000000,1000000000000,1000000000000,1000000000000,True
41263,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,48427,False
1000000000000,40422,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,46278,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49009,1000000000000,False
42513,1000000000000,1000000000000,1000000000000,1000000000000,True
49891,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50737,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,44362,False
1000000000000,1000000000000,1000000000000,1000000000000,48687,False
42258,1000000000000,1000000000000,1000000000000,1000000000000,True
46196,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50947,1000000000000,False
1000000000000,1000000000000,51986,1000000000000,1000000000000,False
45997,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,49109,False
1000000000000,1000000000000,1000000000000,1000000000000,43620,False
1000000000000,1000000000000,47443,1000000000000,1000000000000,False
41485,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,42016,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,44851,False
1000000000000,1000000000000,47868,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,51745,1000000000000,1000000000000,False
1000000000000,1000000000000,51463,1000000000000,1000000000000,False
1000000000000,50359,1000000000000,1000000000000,1000000000000,True
51354,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47658,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
55097,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,51467,False
1000000000000,49816,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51873,1000000000000,False
1000000000000,1000000000000,48412,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,45746,False
1000000000000,44493,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50357,False
43030,1000000000000,1000000000000,1000000000000,1000000000000,True
43678,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
43397,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48729,1000000000000,1000000000000,False
57174,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,53201,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50110,1000000000000,False
1000000000000,1000000000000,52965,1000000000000,1000000000000,False
1000000000000,1000000000000,47222,1000000000000,1000000000000,False
47932,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,48145,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50448,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
44375,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,52596,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53343,False
1000000000000,46607,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48396,1000000000000,False
52468,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51069,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
45559,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51315,1000000000000,False
45026,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
54844,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,46963,1000000000000,1000000000000,1000000000000,True
55915,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
47169,1000000000000,1000000000000,1000000000000,1000000000000,True
53734,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,55264,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
52888,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
