tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,34538,1000000000000,1000000000000,False
33679,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,34621,1000000000000,False
1000000000000,34397,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,40723,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,43841,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39516,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42292,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43634,1000000000000,False
1000000000000,1000000000000,1000000000000,41341,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38383,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38422,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,37129,1000000000000,False
1000000000000,1000000000000,1000000000000,37580,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,37538,1000000000000,False
1000000000000,1000000000000,1000000000000,42081,1000000000000,1000000000000,False
34323,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,44043,1000000000000,False
35438,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
53177,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,36723,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39900,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42833,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39422,1000000000000,False
54698,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
43006,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
41879,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,41942,1000000000000,False
36371,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
