tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,33413,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37820,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,35319,1000000000000,1000000000000,False
34291,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,38688,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,35882,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39164,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42953,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,36802,False
36037,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,39904,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,39814,False
49422,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44065,1000000000000,1000000000000,False
37683,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45355,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38507,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41089,1000000000000,False
1000000000000,1000000000000,1000000000000,41659,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47523,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42476,1000000000000,False
1000000000000,38779,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,42293,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48363,1000000000000,1000000000000,False
51482,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46912,1000000000000,1000000000000,False
41712,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,58415,1000000000000,1000000000000,1000000000000,1000000000000,True
39594,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
43163,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,40499,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45927,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44093,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42886,False
1000000000000,1000000000000,1000000000000,40864,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,43441,1000000000000,1000000000000,False
40431,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,45917,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
48872,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47917,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45682,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50858,False
43712,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,48914,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41925,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49504,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,48417,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,48581,1000000000000,False
1000000000000,43270,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,44117,1000000000000,1000000000000,1000000000000,1000000000000,True
53959,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
50452,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47471,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
56732,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
54387,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51641,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,53249,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50006,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
