tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,33955,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39636,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36189,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39283,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38500,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38008,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40399,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42073,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37285,1000000000000,1000000000000,False
34509,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
35398,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,36963,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38636,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40791,1000000000000,False
38477,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
52482,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,39394,1000000000000,False
1000000000000,1000000000000,1000000000000,45087,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42561,1000000000000,False
1000000000000,38856,1000000000000,1000000000000,1000000000000,1000000000000,True
60121,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,46176,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46682,1000000000000,False
1000000000000,1000000000000,1000000000000,44273,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41816,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50555,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
39676,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46184,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,48297,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
59393,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,48044,1000000000000,False
1000000000000,1000000000000,1000000000000,44780,1000000000000,1000000000000,False
1000000000000,41088,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46457,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47944,False
1000000000000,40104,1000000000000,1000000000000,1000000000000,1000000000000,True
40582,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,44598,1000000000000,False
1000000000000,1000000000000,1000000000000,50815,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45454,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51648,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,45117,1000000000000,False
41429,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50577,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,48606,1000000000000,False
1000000000000,1000000000000,1000000000000,47036,1000000000000,1000000000000,False
1000000000000,41933,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45876,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,47184,1000000000000,False
44135,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,45706,1000000000000,False
48058,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
46337,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45007,False
42549,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45985,False
1000000000000,1000000000000,1000000000000,1000000000000,47614,1000000000000,False
1000000000000,1000000000000,1000000000000,49249,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,45653,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51382,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46875,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47499,False
43032,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,47530,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44001,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46485,1000000000000,1000000000000,False
47400,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
47135,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51101,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46213,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
46678,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49918,False
