tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,33912,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40169,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,33910,1000000000000,False
1000000000000,1000000000000,1000000000000,40634,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36213,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36600,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,41286,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38471,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37436,1000000000000,1000000000000,False
35465,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
34578,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,37181,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39226,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41337,1000000000000,False
37743,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
38091,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,39913,1000000000000,False
1000000000000,1000000000000,1000000000000,44683,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43362,1000000000000,False
53247,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
39526,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,39664,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41929,False
1000000000000,1000000000000,1000000000000,43774,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,48984,1000000000000,False
1000000000000,1000000000000,1000000000000,45017,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46533,False
40677,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46565,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42835,False
1000000000000,1000000000000,1000000000000,1000000000000,47404,1000000000000,False
47984,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43363,False
1000000000000,1000000000000,1000000000000,44255,1000000000000,1000000000000,False
1000000000000,40545,1000000000000,1000000000000,1000000000000,1000000000000,True
