Instancia,replica,U_relativa
0,0,0.8327868852459016
0,1,0.9039735099337748
0,2,0.7932011331444759
0,3,0.804093567251462
0,4,0.8197278911564626
0,5,0.8414239482200647
0,6,0.8379446640316206
0,7,0.7960339943342776
0,8,0.8934707903780069
0,9,0.8481012658227848
1,0,0.7714285714285715
1,1,0.8146964856230032
1,2,0.7355371900826446
1,3,0.7557471264367817
1,4,0.7662721893491125
1,5,0.7606060606060606
1,6,0.7596439169139466
1,7,0.7285714285714285
1,8,0.7092391304347826
1,9,0.7547770700636943
2,0,0.9015873015873016
2,1,0.8942307692307693
2,2,0.8978978978978979
2,3,0.8173374613003096
2,4,0.8609625668449198
2,5,0.8631284916201117
2,6,0.9863481228668942
2,7,0.8722044728434505
2,8,0.8518518518518519
2,9,0.8537313432835821
3,0,0.8888888888888888
3,1,0.8685897435897436
3,2,0.8738738738738738
3,3,0.8359133126934984
3,4,0.8288770053475936
3,5,0.840782122905028
3,6,0.9146757679180887
3,7,0.8626198083067093
3,8,0.8518518518518519
3,9,0.8716417910447761
