tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37650,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
33365,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
36358,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,34687,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,34900,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,39264,1000000000000,1000000000000,1000000000000,False
35306,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
35665,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
34580,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,42278,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37189,1000000000000,1000000000000,1000000000000,False
49400,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,38647,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38157,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40309,1000000000000,1000000000000,1000000000000,False
53112,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,44795,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38831,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41659,1000000000000,1000000000000,False
1000000000000,36448,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,40512,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39820,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36813,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42415,1000000000000,1000000000000,1000000000000,False
1000000000000,35450,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
51009,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,37389,1000000000000,1000000000000,False
