tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,34533,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42879,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,41513,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,40525,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,35250,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,42426,1000000000000,1000000000000,False
33638,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,43918,1000000000000,1000000000000,1000000000000,False
1000000000000,34763,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,35929,1000000000000,False
1000000000000,1000000000000,1000000000000,38682,1000000000000,1000000000000,1000000000000,False
34400,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
36854,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
37497,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,37242,1000000000000,1000000000000,1000000000000,False
35443,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46105,1000000000000,1000000000000,1000000000000,False
58921,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,45014,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,45485,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38009,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38892,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40601,1000000000000,1000000000000,False
40724,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
58603,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,39571,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42634,1000000000000,False
39209,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45440,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41020,False
43872,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49695,1000000000000,1000000000000,1000000000000,False
1000000000000,40620,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47334,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49821,False
1000000000000,1000000000000,1000000000000,49136,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47554,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47787,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46210,False
1000000000000,1000000000000,1000000000000,48715,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51136,False
1000000000000,1000000000000,1000000000000,1000000000000,51007,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49892,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44362,False
1000000000000,41941,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,48052,1000000000000,1000000000000,False
41800,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50905,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45393,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51646,1000000000000,False
42695,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,49236,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45900,False
