tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,tiempos_c4,tiempos_c5,tiempos_c6,indicador
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
33742,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
41196,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,33862,1000000000000,1000000000000,1000000000000,False
33490,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
35548,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,36352,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,41624,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,36038,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,42693,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44402,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,37545,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,35582,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,34989,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,38770,1000000000000,1000000000000,1000000000000,False
41848,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
40223,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,36947,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40441,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,37512,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41099,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,41695,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43906,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,38973,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39953,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,41540,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46940,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,43201,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,40161,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,46429,1000000000000,1000000000000,False
37375,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43556,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44286,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42633,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,39549,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,44420,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43102,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40307,1000000000000,False
38827,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,44714,1000000000000,False
1000000000000,39791,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
39291,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47591,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,46083,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45430,1000000000000,False
40699,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,40793,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,43742,False
46651,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,50186,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,45776,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42859,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,42544,False
1000000000000,40357,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,47412,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51236,1000000000000,False
43757,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,48502,False
1000000000000,1000000000000,1000000000000,1000000000000,51228,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50786,False
49578,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
55177,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46430,1000000000000,1000000000000,1000000000000,False
42266,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46098,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50022,1000000000000,False
1000000000000,1000000000000,1000000000000,49016,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,46983,1000000000000,1000000000000,1000000000000,False
57095,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50889,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49866,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,49510,1000000000000,1000000000000,False
1000000000000,41483,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
50217,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,43668,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,44131,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
47273,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
44650,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
59094,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,46048,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
43054,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,49270,1000000000000,1000000000000,False
56313,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52084,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,50423,1000000000000,False
1000000000000,42590,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47572,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48203,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52893,1000000000000,False
1000000000000,1000000000000,1000000000000,53523,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,53231,1000000000000,False
45534,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,44919,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,49868,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
57440,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,51638,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,50791,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54462,1000000000000,1000000000000,1000000000000,False
55946,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
47749,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,48382,1000000000000,1000000000000,False
54795,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,58765,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,53990,1000000000000,False
1000000000000,1000000000000,1000000000000,47862,1000000000000,1000000000000,1000000000000,False
59498,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
49301,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,47616,1000000000000,1000000000000,False
58180,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47331,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,48467,1000000000000,1000000000000,1000000000000,False
45028,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52601,1000000000000,1000000000000,1000000000000,False
1000000000000,45328,1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,1000000000000,52584,1000000000000,False
1000000000000,1000000000000,1000000000000,53175,1000000000000,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,53607,1000000000000,1000000000000,False
