Instancia,replica,U_relativa,D_camiones,,,,,,,
0,0,50.2%,446956.5,,,Estad’sticas Caso Base desagregado por instancias,,,,
0,1,54.3%,419766.88,,Instancia,I,II,III,IV,Todas
0,2,49.0%,406878.7,,Min(U),45%,41%,47%,46%,40.7%
0,3,45.6%,440974.53,,E(U),49%,45%,55%,52%,50.5%
0,4,45.9%,425608.78,,Max(U),54%,48%,63%,56%,62.8%
0,5,48.5%,446503.56,,E(D_camiones) [km],436.7,437.3,399.8,409.3,420.7
0,6,52.6%,451184.44,,,,,,,
0,7,45.9%,427713.88,,,,,,,
0,8,54.3%,445747.94,,,,,,,
0,9,54.1%,441828.94,,,,,,,
0,10,49.2%,429648.12,,,,,,,
0,11,50.7%,426886.72,,,,,,,
0,12,46.8%,439244.38,,,,,,,
0,13,49.4%,430295.5,,,,,,,
0,14,47.5%,438122.34,,,,,,,
0,15,51.3%,440810.22,,,,,,,
0,16,49.5%,448077.62,,,,,,,
0,17,47.2%,447122.12,,,,,,,
0,18,47.6%,450257.34,,,,,,,
0,19,45.2%,429800.97,,,,,,,
1,0,47.9%,439831.7,,,,,,,
1,1,47.9%,425892,,,,,,,
1,2,44.1%,451724.75,,,,,,,
1,3,42.8%,418870.75,,,,,,,
1,4,43.8%,441140.22,,,,,,,
1,5,42.4%,458049.25,,,,,,,
1,6,40.7%,418620.38,,,,,,,
1,7,44.6%,437895.62,,,,,,,
1,8,41.0%,459167.3,,,,,,,
1,9,48.1%,422502.25,,,,,,,
1,10,47.6%,425590.4,,,,,,,
1,11,44.3%,432215.12,,,,,,,
1,12,43.2%,439706.56,,,,,,,
1,13,47.3%,448898.38,,,,,,,
1,14,48.2%,447874.28,,,,,,,
1,15,45.8%,428601.22,,,,,,,
1,16,43.5%,452790.56,,,,,,,
1,17,47.4%,432498,,,,,,,
1,18,47.3%,431542.47,,,,,,,
1,19,44.8%,432127.03,,,,,,,
2,0,57.5%,384565.66,,,,,,,
2,1,52.2%,421109.44,,,,,,,
2,2,52.0%,404893.56,,,,,,,
2,3,48.9%,395269.2,,,,,,,
2,4,54.8%,416120.25,,,,,,,
2,5,53.1%,400234.66,,,,,,,
2,6,59.0%,409805.88,,,,,,,
2,7,59.4%,398165.9,,,,,,,
2,8,56.5%,380778.7,,,,,,,
2,9,58.5%,380798.72,,,,,,,
2,10,58.3%,386899.97,,,,,,,
2,11,62.0%,398776.75,,,,,,,
2,12,52.0%,380012.38,,,,,,,
2,13,47.5%,399185.94,,,,,,,
2,14,55.4%,408575.75,,,,,,,
2,15,59.1%,398840.25,,,,,,,
2,16,52.7%,433557.12,,,,,,,
2,17,56.2%,425592.3,,,,,,,
2,18,62.8%,380551.75,,,,,,,
2,19,49.7%,391666.7,,,,,,,
3,0,54.0%,399650.44,,,,,,,
3,1,52.2%,402505.75,,,,,,,
3,2,51.7%,436953.78,,,,,,,
3,3,50.5%,412369.8,,,,,,,
3,4,52.7%,367138.3,,,,,,,
3,5,53.4%,388445.97,,,,,,,
3,6,55.3%,426043.25,,,,,,,
3,7,53.4%,422791.44,,,,,,,
3,8,51.9%,417532.97,,,,,,,
3,9,52.8%,406436.1,,,,,,,
3,10,54.1%,391777.75,,,,,,,
3,11,56.2%,399080.5,,,,,,,
3,12,50.9%,406084.44,,,,,,,
3,13,45.6%,408805.9,,,,,,,
3,14,54.1%,416904,,,,,,,
3,15,53.0%,412835.3,,,,,,,
3,16,47.3%,426787.6,,,,,,,
3,17,51.6%,429884.84,,,,,,,
3,18,55.2%,403930.4,,,,,,,
3,19,46.4%,409484.94,,,,,,,
