tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,34830,1000000000000,1000000000000,False
1000000000000,37678,1000000000000,1000000000000,False
1000000000000,1000000000000,34648,1000000000000,False
1000000000000,39533,1000000000000,1000000000000,False
1000000000000,38239,1000000000000,1000000000000,False
1000000000000,1000000000000,37831,1000000000000,False
1000000000000,42852,1000000000000,1000000000000,False
34679,1000000000000,1000000000000,1000000000000,True
1000000000000,37320,1000000000000,1000000000000,False
1000000000000,1000000000000,39174,1000000000000,False
1000000000000,1000000000000,41277,1000000000000,False
37543,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44496,1000000000000,False
1000000000000,40451,1000000000000,1000000000000,False
36062,1000000000000,1000000000000,1000000000000,True
1000000000000,44673,1000000000000,1000000000000,False
1000000000000,38872,1000000000000,1000000000000,False
50773,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,37411,1000000000000,False
1000000000000,1000000000000,45114,1000000000000,False
1000000000000,1000000000000,38360,1000000000000,False
1000000000000,1000000000000,1000000000000,44762,False
1000000000000,43760,1000000000000,1000000000000,False
49815,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,45354,False
1000000000000,1000000000000,1000000000000,45789,False
1000000000000,1000000000000,1000000000000,45365,False
1000000000000,41534,1000000000000,1000000000000,False
53349,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46167,False
1000000000000,1000000000000,1000000000000,46155,False
1000000000000,1000000000000,1000000000000,48013,False
1000000000000,1000000000000,1000000000000,46748,False
1000000000000,1000000000000,1000000000000,48110,False
1000000000000,1000000000000,1000000000000,47682,False
40137,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,47600,False
38667,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59195,True
1000000000000,1000000000000,1000000000000,47560,False
1000000000000,1000000000000,1000000000000,48462,False
1000000000000,1000000000000,1000000000000,48551,False
1000000000000,1000000000000,1000000000000,48880,False
1000000000000,1000000000000,1000000000000,48142,False
1000000000000,1000000000000,1000000000000,49270,False
1000000000000,1000000000000,1000000000000,48530,False
1000000000000,46929,1000000000000,1000000000000,False
1000000000000,1000000000000,49522,1000000000000,False
1000000000000,49706,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49437,False
1000000000000,1000000000000,1000000000000,49448,False
40528,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50523,False
1000000000000,1000000000000,1000000000000,49222,False
1000000000000,1000000000000,1000000000000,50038,False
1000000000000,48220,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49506,False
1000000000000,1000000000000,1000000000000,49779,False
1000000000000,1000000000000,1000000000000,50102,False
1000000000000,1000000000000,1000000000000,48884,False
1000000000000,47656,1000000000000,1000000000000,False
46778,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50798,False
1000000000000,1000000000000,1000000000000,50039,False
1000000000000,1000000000000,1000000000000,49885,False
1000000000000,1000000000000,1000000000000,59609,True
41210,1000000000000,1000000000000,1000000000000,True
1000000000000,50566,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51570,False
1000000000000,1000000000000,1000000000000,58560,True
42091,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,58943,True
1000000000000,1000000000000,1000000000000,51065,False
1000000000000,1000000000000,1000000000000,50796,False
1000000000000,1000000000000,1000000000000,51417,False
1000000000000,1000000000000,1000000000000,50834,False
1000000000000,1000000000000,52376,1000000000000,False
1000000000000,1000000000000,1000000000000,50143,False
47277,1000000000000,1000000000000,1000000000000,True
1000000000000,48841,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51309,False
1000000000000,1000000000000,1000000000000,51798,False
1000000000000,1000000000000,48705,1000000000000,False
1000000000000,1000000000000,1000000000000,58530,True
48573,1000000000000,1000000000000,1000000000000,True
1000000000000,47404,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,51001,False
42531,1000000000000,1000000000000,1000000000000,True
43137,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50464,1000000000000,False
1000000000000,50014,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,52558,False
1000000000000,1000000000000,1000000000000,60389,True
1000000000000,1000000000000,1000000000000,52169,False
1000000000000,1000000000000,1000000000000,51776,False
1000000000000,46667,1000000000000,1000000000000,False
1000000000000,1000000000000,49858,1000000000000,False
44476,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,52945,False
1000000000000,54364,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60285,True
1000000000000,1000000000000,1000000000000,58326,True
1000000000000,1000000000000,54855,1000000000000,False
1000000000000,1000000000000,1000000000000,52861,False
1000000000000,1000000000000,1000000000000,53733,False
1000000000000,53068,1000000000000,1000000000000,False
1000000000000,54984,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54643,False
1000000000000,1000000000000,1000000000000,54546,False
58597,1000000000000,1000000000000,1000000000000,True
1000000000000,56112,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,54090,False
1000000000000,1000000000000,1000000000000,54784,False
1000000000000,55208,1000000000000,1000000000000,False
45500,1000000000000,1000000000000,1000000000000,True
46531,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59081,True
46061,1000000000000,1000000000000,1000000000000,True
1000000000000,53651,1000000000000,1000000000000,False
1000000000000,49232,1000000000000,1000000000000,False
1000000000000,1000000000000,51159,1000000000000,False
1000000000000,1000000000000,55738,1000000000000,False
54557,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,51660,1000000000000,False
1000000000000,52119,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,55511,False
1000000000000,1000000000000,1000000000000,54913,False
