tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
1000000000000,34178,1000000000000,1000000000000,False
1000000000000,39113,1000000000000,1000000000000,False
1000000000000,37082,1000000000000,1000000000000,False
1000000000000,1000000000000,34063,1000000000000,False
33452,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,37903,1000000000000,False
1000000000000,1000000000000,41025,1000000000000,False
43335,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,38767,1000000000000,False
1000000000000,38333,1000000000000,1000000000000,False
1000000000000,1000000000000,36325,1000000000000,False
1000000000000,37989,1000000000000,1000000000000,False
34169,1000000000000,1000000000000,1000000000000,True
1000000000000,37315,1000000000000,1000000000000,False
1000000000000,37593,1000000000000,1000000000000,False
1000000000000,43358,1000000000000,1000000000000,False
1000000000000,39525,1000000000000,1000000000000,False
35213,1000000000000,1000000000000,1000000000000,True
1000000000000,41608,1000000000000,1000000000000,False
1000000000000,38581,1000000000000,1000000000000,False
41205,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,40370,1000000000000,False
1000000000000,36705,1000000000000,1000000000000,False
1000000000000,36043,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,44997,False
1000000000000,45913,1000000000000,1000000000000,False
45807,1000000000000,1000000000000,1000000000000,True
36571,1000000000000,1000000000000,1000000000000,True
1000000000000,44454,1000000000000,1000000000000,False
46109,1000000000000,1000000000000,1000000000000,True
47295,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46648,False
37821,1000000000000,1000000000000,1000000000000,True
39872,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46657,False
1000000000000,1000000000000,44242,1000000000000,False
1000000000000,1000000000000,1000000000000,46483,False
45505,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,46964,False
1000000000000,1000000000000,44631,1000000000000,False
50712,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,48327,False
40969,1000000000000,1000000000000,1000000000000,True
1000000000000,40989,1000000000000,1000000000000,False
1000000000000,43959,1000000000000,1000000000000,False
1000000000000,44940,1000000000000,1000000000000,False
1000000000000,42939,1000000000000,1000000000000,False
1000000000000,1000000000000,47743,1000000000000,False
46657,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49183,False
1000000000000,45369,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49602,False
1000000000000,42182,1000000000000,1000000000000,False
1000000000000,1000000000000,44822,1000000000000,False
1000000000000,1000000000000,1000000000000,50118,False
1000000000000,1000000000000,1000000000000,59651,True
1000000000000,1000000000000,42549,1000000000000,False
1000000000000,1000000000000,45796,1000000000000,False
1000000000000,1000000000000,43525,1000000000000,False
1000000000000,48421,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50547,False
1000000000000,1000000000000,45383,1000000000000,False
1000000000000,1000000000000,1000000000000,60379,True
1000000000000,50719,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60219,True
1000000000000,1000000000000,49797,1000000000000,False
41640,1000000000000,1000000000000,1000000000000,True
1000000000000,48108,1000000000000,1000000000000,False
43662,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50402,False
1000000000000,1000000000000,42987,1000000000000,False
42202,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,47041,1000000000000,False
1000000000000,47819,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,59978,True
1000000000000,1000000000000,1000000000000,51976,False
44028,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,51421,False
1000000000000,50011,1000000000000,1000000000000,False
1000000000000,1000000000000,52003,1000000000000,False
41876,1000000000000,1000000000000,1000000000000,True
