tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador
1000000000000,1000000000000,1000000000000,61020,True
37522,1000000000000,1000000000000,1000000000000,True
34097,1000000000000,1000000000000,1000000000000,True
36245,1000000000000,1000000000000,1000000000000,True
1000000000000,34714,1000000000000,1000000000000,False
33186,1000000000000,1000000000000,1000000000000,True
1000000000000,37332,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,60208,True
1000000000000,39422,1000000000000,1000000000000,False
1000000000000,40962,1000000000000,1000000000000,False
36944,1000000000000,1000000000000,1000000000000,True
1000000000000,41668,1000000000000,1000000000000,False
34911,1000000000000,1000000000000,1000000000000,True
1000000000000,36773,1000000000000,1000000000000,False
1000000000000,38087,1000000000000,1000000000000,False
1000000000000,1000000000000,37241,1000000000000,False
35629,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,44618,1000000000000,False
1000000000000,1000000000000,40856,1000000000000,False
1000000000000,45420,1000000000000,1000000000000,False
1000000000000,1000000000000,46449,1000000000000,False
1000000000000,1000000000000,39952,1000000000000,False
1000000000000,1000000000000,39398,1000000000000,False
1000000000000,1000000000000,1000000000000,59687,True
1000000000000,1000000000000,44133,1000000000000,False
1000000000000,1000000000000,46071,1000000000000,False
1000000000000,1000000000000,42638,1000000000000,False
1000000000000,43468,1000000000000,1000000000000,False
39505,1000000000000,1000000000000,1000000000000,True
51782,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59216,True
1000000000000,1000000000000,1000000000000,48891,False
39000,1000000000000,1000000000000,1000000000000,True
1000000000000,46866,1000000000000,1000000000000,False
1000000000000,45011,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,49816,False
1000000000000,1000000000000,1000000000000,59150,True
1000000000000,46266,1000000000000,1000000000000,False
1000000000000,44635,1000000000000,1000000000000,False
39915,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,49598,False
1000000000000,1000000000000,1000000000000,49448,False
40735,1000000000000,1000000000000,1000000000000,True
40364,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,50942,1000000000000,False
59512,1000000000000,1000000000000,1000000000000,True
1000000000000,50566,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50164,False
43260,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,59607,True
1000000000000,43847,1000000000000,1000000000000,False
1000000000000,1000000000000,1000000000000,50609,False
1000000000000,1000000000000,1000000000000,50326,False
42927,1000000000000,1000000000000,1000000000000,True
43628,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50093,False
1000000000000,47698,1000000000000,1000000000000,False
43973,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,50490,False
