tiempos_c1,tiempos_c2,tiempos_c3
1000000000000,1000000000000,1000000000000
1000000000000,34173,1000000000000
1000000000000,37009,1000000000000
1000000000000,1000000000000,1000000000000
33715,1000000000000,1000000000000
1000000000000,1000000000000,34904
1000000000000,1000000000000,45293
1000000000000,1000000000000,47802
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
35864,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
34610,1000000000000,1000000000000
1000000000000,39686,1000000000000
1000000000000,38100,1000000000000
54317,1000000000000,1000000000000
1000000000000,41467,1000000000000
38282,1000000000000,1000000000000
53297,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,42829
36834,1000000000000,1000000000000
52160,1000000000000,1000000000000
1000000000000,43439,1000000000000
51422,1000000000000,1000000000000
1000000000000,1000000000000,40418
1000000000000,1000000000000,38340
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
37480,1000000000000,1000000000000
57212,1000000000000,1000000000000
40212,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,49433,1000000000000
38836,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
56403,1000000000000,1000000000000
54926,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
45840,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,45704,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,47742,1000000000000
1000000000000,46800,1000000000000
46958,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
