tiempos_c1,tiempos_c2,tiempos_c3
1000000000000,1000000000000,1000000000000
1000000000000,34173,1000000000000
1000000000000,37009,1000000000000
1000000000000,1000000000000,1000000000000
33715,1000000000000,1000000000000
1000000000000,1000000000000,34904
1000000000000,39273,1000000000000
1000000000000,42794,1000000000000
1000000000000,40225,1000000000000
1000000000000,44803,1000000000000
1000000000000,41427,1000000000000
1000000000000,1000000000000,40820
35864,1000000000000,1000000000000
1000000000000,42017,1000000000000
34610,1000000000000,1000000000000
1000000000000,37835,1000000000000
1000000000000,1000000000000,38038
54317,1000000000000,1000000000000
1000000000000,43398,1000000000000
38282,1000000000000,1000000000000
53297,1000000000000,1000000000000
1000000000000,1000000000000,39199
1000000000000,45673,1000000000000
36834,1000000000000,1000000000000
52160,1000000000000,1000000000000
1000000000000,58452,1000000000000
51422,1000000000000,1000000000000
1000000000000,38393,1000000000000
1000000000000,46187,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,39709
1000000000000,1000000000000,43808
37480,1000000000000,1000000000000
57212,1000000000000,1000000000000
40212,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,53884,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,53505
1000000000000,1000000000000,50370
1000000000000,1000000000000,1000000000000
1000000000000,53211,1000000000000
1000000000000,1000000000000,59042
38836,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
56403,1000000000000,1000000000000
54926,1000000000000,1000000000000
1000000000000,51921,1000000000000
45840,1000000000000,1000000000000
1000000000000,51043,1000000000000
1000000000000,1000000000000,52638
1000000000000,1000000000000,49257
1000000000000,1000000000000,1000000000000
1000000000000,48500,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,49474,1000000000000
1000000000000,1000000000000,47452
46958,1000000000000,1000000000000
1000000000000,1000000000000,48504
1000000000000,1000000000000,51842
40714,1000000000000,1000000000000
41471,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
51152,1000000000000,1000000000000
