tiempos_c1,tiempos_c2,tiempos_c3
1000000000000,1000000000000,1000000000000
1000000000000,34173,1000000000000
1000000000000,37009,1000000000000
1000000000000,1000000000000,1000000000000
33715,1000000000000,1000000000000
1000000000000,1000000000000,34904
1000000000000,39273,1000000000000
1000000000000,42794,1000000000000
1000000000000,40225,1000000000000
1000000000000,1000000000000,43577
1000000000000,41427,1000000000000
1000000000000,1000000000000,39860
35864,1000000000000,1000000000000
1000000000000,42017,1000000000000
34610,1000000000000,1000000000000
1000000000000,37835,1000000000000
1000000000000,45052,1000000000000
54317,1000000000000,1000000000000
1000000000000,43398,1000000000000
38282,1000000000000,1000000000000
53297,1000000000000,1000000000000
1000000000000,1000000000000,40663
1000000000000,1000000000000,42024
36834,1000000000000,1000000000000
52160,1000000000000,1000000000000
1000000000000,1000000000000,38292
51422,1000000000000,1000000000000
1000000000000,38393,1000000000000
1000000000000,1000000000000,42538
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,41173
1000000000000,1000000000000,45195
37480,1000000000000,1000000000000
57212,1000000000000,1000000000000
40212,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
38836,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
56403,1000000000000,1000000000000
54926,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
45840,1000000000000,1000000000000
1000000000000,49606,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,47063,1000000000000
1000000000000,1000000000000,1000000000000
1000000000000,48037,1000000000000
1000000000000,1000000000000,48839
46958,1000000000000,1000000000000
1000000000000,1000000000000,50179
1000000000000,1000000000000,1000000000000
40714,1000000000000,1000000000000
41471,1000000000000,1000000000000
