tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi
1000000000000,1000000000000,1000000000000,61020
1000000000000,34185,1000000000000,1000000000000
1000000000000,37035,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,58515
33724,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,34915,1000000000000
1000000000000,39314,1000000000000,1000000000000
1000000000000,42858,1000000000000,1000000000000
1000000000000,40273,1000000000000,1000000000000
1000000000000,1000000000000,43638,1000000000000
1000000000000,41483,1000000000000,1000000000000
1000000000000,1000000000000,39900,1000000000000
35887,1000000000000,1000000000000,1000000000000
1000000000000,42076,1000000000000,1000000000000
34625,1000000000000,1000000000000,1000000000000
1000000000000,37867,1000000000000,1000000000000
1000000000000,45132,1000000000000,1000000000000
54324,1000000000000,1000000000000,1000000000000
1000000000000,43466,1000000000000,1000000000000
38319,1000000000000,1000000000000,1000000000000
53300,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,40707,1000000000000
1000000000000,1000000000000,42076,1000000000000
36863,1000000000000,1000000000000,1000000000000
52159,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,38322,1000000000000
51419,1000000000000,1000000000000,1000000000000
1000000000000,38428,1000000000000,1000000000000
1000000000000,1000000000000,42593,1000000000000
1000000000000,1000000000000,1000000000000,58744
1000000000000,1000000000000,41220,1000000000000
1000000000000,1000000000000,45267,1000000000000
37512,1000000000000,1000000000000,1000000000000
57230,1000000000000,1000000000000,1000000000000
40262,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,45405
1000000000000,1000000000000,1000000000000,46420
1000000000000,1000000000000,1000000000000,46307
1000000000000,1000000000000,1000000000000,46892
1000000000000,1000000000000,1000000000000,47546
1000000000000,1000000000000,1000000000000,47895
1000000000000,1000000000000,1000000000000,47176
1000000000000,1000000000000,1000000000000,48459
38877,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,48003
56418,1000000000000,1000000000000,1000000000000
54936,1000000000000,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,48017
45806,1000000000000,1000000000000,1000000000000
1000000000000,49703,1000000000000,1000000000000
1000000000000,1000000000000,1000000000000,48515
1000000000000,1000000000000,1000000000000,48660
1000000000000,1000000000000,1000000000000,48726
