tiempos_c1,tiempos_c2,tiempos_c3,t_sale_el_rappi,indicador,,,
1E+12,1E+12,1E+12,61020,TRUE,,,72
1E+12,34185,1E+12,1E+12,FALSE,,,117
1E+12,37035,1E+12,1E+12,FALSE,,,189
1E+12,1E+12,1E+12,58515,TRUE,,,
33724,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,34915,1E+12,FALSE,,,
1E+12,39314,1E+12,1E+12,FALSE,,,
1E+12,42858,1E+12,1E+12,FALSE,,,
1E+12,40273,1E+12,1E+12,FALSE,,,
1E+12,1E+12,43638,1E+12,FALSE,,,
1E+12,41483,1E+12,1E+12,FALSE,,,
1E+12,1E+12,39900,1E+12,FALSE,,,
35887,1E+12,1E+12,1E+12,TRUE,,,
1E+12,42076,1E+12,1E+12,FALSE,,,
34625,1E+12,1E+12,1E+12,TRUE,,,
1E+12,37867,1E+12,1E+12,FALSE,,,
1E+12,45132,1E+12,1E+12,FALSE,,,
54324,1E+12,1E+12,1E+12,TRUE,,,
1E+12,43466,1E+12,1E+12,FALSE,,,
38319,1E+12,1E+12,1E+12,TRUE,,,
53300,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,40707,1E+12,FALSE,,,
1E+12,1E+12,42076,1E+12,FALSE,,,
36863,1E+12,1E+12,1E+12,TRUE,,,
52159,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,38322,1E+12,FALSE,,,
51419,1E+12,1E+12,1E+12,TRUE,,,
1E+12,38428,1E+12,1E+12,FALSE,,,
1E+12,1E+12,42593,1E+12,FALSE,,,
1E+12,1E+12,1E+12,58744,TRUE,,,
1E+12,1E+12,41220,1E+12,FALSE,,,
1E+12,1E+12,45267,1E+12,FALSE,,,
37512,1E+12,1E+12,1E+12,TRUE,,,
57230,1E+12,1E+12,1E+12,TRUE,,,
40262,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,45405,FALSE,,,
1E+12,1E+12,1E+12,46420,FALSE,,,
1E+12,1E+12,1E+12,46307,FALSE,,,
1E+12,1E+12,1E+12,46892,FALSE,,,
1E+12,1E+12,1E+12,47546,FALSE,,,
1E+12,1E+12,1E+12,47895,FALSE,,,
1E+12,1E+12,1E+12,47176,FALSE,,,
1E+12,1E+12,1E+12,48459,FALSE,,,
38877,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,48003,FALSE,,,
56418,1E+12,1E+12,1E+12,TRUE,,,
54936,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,48017,FALSE,,,
45806,1E+12,1E+12,1E+12,TRUE,,,
1E+12,49703,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,48515,FALSE,,,
1E+12,1E+12,1E+12,48660,FALSE,,,
1E+12,1E+12,1E+12,48726,FALSE,,,
1E+12,47149,1E+12,1E+12,FALSE,,,
1E+12,1E+12,1E+12,48966,FALSE,,,
1E+12,48127,1E+12,1E+12,FALSE,,,
1E+12,1E+12,48929,1E+12,FALSE,,,
46931,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,50275,1E+12,FALSE,,,
1E+12,1E+12,1E+12,49726,FALSE,,,
40766,1E+12,1E+12,1E+12,TRUE,,,
41528,1E+12,1E+12,1E+12,TRUE,,,
1E+12,1E+12,1E+12,50156,FALSE,,,
51149,1E+12,1E+12,1E+12,TRUE,,,
