t,c1_x,c1_y,c2_x,c2_y,c3_x,c3_y
32400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
32401,9993.055555555555,10000.0,10000.0,10000.0,10000.0,10000.0
32402,9986.11111111111,10000.0,10000.0,10000.0,10000.0,10000.0
32403,9979.166666666664,10000.0,10000.0,10000.0,10000.0,10000.0
32404,9972.222222222219,10000.0,10000.0,10000.0,10000.0,10000.0
32405,9965.277777777774,10000.0,10000.0,10000.0,10000.0,10000.0
32406,9958.333333333328,10000.0,10000.0,10000.0,10000.0,10000.0
32407,9951.388888888883,10000.0,10000.0,10000.0,10000.0,10000.0
32408,9944.444444444438,10000.0,10000.0,10000.0,10000.0,10000.0
32409,9937.499999999993,10000.0,10000.0,10000.0,10000.0,10000.0
32410,9930.555555555547,10000.0,10000.0,10000.0,10000.0,10000.0
32411,9923.611111111102,10000.0,10000.0,10000.0,10000.0,10000.0
32412,9916.666666666657,10000.0,10000.0,10000.0,10000.0,10000.0
32413,9909.722222222212,10000.0,10000.0,10000.0,10000.0,10000.0
32414,9902.777777777766,10000.0,10000.0,10000.0,10000.0,10000.0
32415,9895.833333333321,10000.0,10000.0,10000.0,10000.0,10000.0
32416,9889.1220703125,10000.0,10000.0,10000.0,10000.0,10000.0
32417,9889.1220703125,10006.944444444445,10000.0,10000.0,10000.0,10000.0
32418,9889.1220703125,10013.88888888889,10000.0,10000.0,10000.0,10000.0
32419,9889.1220703125,10020.833333333336,10000.0,10000.0,10000.0,10000.0
32420,9889.1220703125,10027.777777777781,10000.0,10000.0,10000.0,10000.0
32421,9889.1220703125,10034.722222222226,10000.0,10000.0,10000.0,10000.0
32422,9889.1220703125,10041.666666666672,10000.0,10000.0,10000.0,10000.0
32423,9889.1220703125,10048.611111111117,10000.0,10000.0,10000.0,10000.0
32424,9889.1220703125,10055.555555555562,10000.0,10000.0,10000.0,10000.0
32425,9889.1220703125,10062.500000000007,10000.0,10000.0,10000.0,10000.0
32426,9889.1220703125,10069.444444444453,10000.0,10000.0,10000.0,10000.0
32427,9889.1220703125,10076.388888888898,10000.0,10000.0,10000.0,10000.0
32428,9889.1220703125,10083.333333333343,10000.0,10000.0,10000.0,10000.0
32429,9889.1220703125,10090.277777777788,10000.0,10000.0,10000.0,10000.0
32430,9889.1220703125,10097.222222222234,10000.0,10000.0,10000.0,10000.0
32431,9889.1220703125,10104.166666666679,10000.0,10000.0,10000.0,10000.0
32432,9889.1220703125,10111.111111111124,10000.0,10000.0,10000.0,10000.0
32433,9889.1220703125,10118.05555555557,10000.0,10000.0,10000.0,10000.0
32434,9889.1220703125,10125.000000000015,10000.0,10000.0,10000.0,10000.0
32435,9889.1220703125,10131.94444444446,10000.0,10000.0,10000.0,10000.0
32436,9889.1220703125,10138.888888888905,10000.0,10000.0,10000.0,10000.0
32437,9889.1220703125,10145.83333333335,10000.0,10000.0,10000.0,10000.0
32438,9889.1220703125,10152.777777777796,10000.0,10000.0,10000.0,10000.0
32439,9889.1220703125,10159.72222222224,10000.0,10000.0,10000.0,10000.0
32440,9889.1220703125,10166.666666666686,10000.0,10000.0,10000.0,10000.0
32441,9889.1220703125,10173.611111111131,10000.0,10000.0,10000.0,10000.0
